Año,Tipo de Institución,Institución,Unidad Académica,Carrera,Título,Gestión,Nivel de la Oferta,Total de Estudiantes,Estudiantes Varones,Estudiantes Mujeres,Total de Nuevos Inscriptos,Nuevos Inscriptos Varones,Nuevas Inscriptas Mujeres,Total de Reinscriptos,Reinscriptos Varones,Reinscriptos Mujeres,Total de Egresados,Egresados Varones,Egresados Mujeres,
2014,Universidad                                       ,Universidad Nacional de Villa María,Instituto de Ciencias Básicas,"Computación, Sistemas e Informática",Licenciatura en Informática - Ciclo de Licenciatura,Estatal                                           ,Grado               ,20,20,,3,3,,17,17,,2,2,,
2014,Universidad                                       ,Universidad Nacional de la Patagonia San Juan Bosco,Facultad de Ingenieria - Sede Puerto Madryn,"Computación, Sistemas e Informática",Licenciatura en Informática,Estatal                                           ,Grado               ,57,54,3,13,12,1,44,42,2,1,1,,
2014,Universidad                                       ,Universidad Nacional de la Patagonia San Juan Bosco,Facultad de Ingeniería - Sede Comodoro Rivadavia,"Computación, Sistemas e Informática",Licenciatura en Informática,Estatal                                           ,Grado               ,98,79,19,16,12,4,82,67,15,2,2,,
2014,Universidad                                       ,Universidad Nacional de la Patagonia San Juan Bosco,Facultad de Ingeniería - Sede Trelew,"Computación, Sistemas e Informática",Licenciatura en Informática,Estatal                                           ,Grado               ,27,21,6,,,,27,21,6,6,4,2,
2014,Universidad                                       ,Universidad Nacional de la Patagonia San Juan Bosco,Facultad de Ingeniería - Sede Ushuaia,"Computación, Sistemas e Informática",Licenciatura en Informática,Estatal                                           ,Grado               ,12,9,3,,,,12,9,3,5,4,1,
2014,Universidad                                       ,Universidad Nacional del Oeste,Escuela de informática,"Computación, Sistemas e Informática",Licenciatura en Informática,Estatal                                           ,Grado               ,299,242,57,116,93,23,183,149,34,,,,
2014,Universidad                                       ,Universidad de Palermo,Facultad de Ingeniería,"Computación, Sistemas e Informática",Licenciatura en Informática,Privada                                           ,Grado               ,255,232,23,85,77,8,170,155,15,33,32,1,
2015,Universidad                                       ,Universidad Argentina de la Empresa,Facultad de Ingeniería y Ciencias Exactas,"Computación, Sistemas e Informática",Licenciatura en Informática,Privada                                           ,Grado               ,263,224,39,19,16,3,244,208,36,36,32,4,
2015,Universidad                                       ,Universidad Atlántida Argentina,ANEXO MAR DEL PLATA,"Computación, Sistemas e Informática",Licenciatura en Informática,Privada                                           ,Grado               ,9,8,1,,,,9,8,1,1,,1,
2015,Universidad                                       ,Universidad Atlántida Argentina,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,"Computación, Sistemas e Informática",Licenciatura en Informática,Privada                                           ,Grado               ,25,21,4,9,7,2,16,14,2,1,1,,
2015,Universidad                                       ,Universidad Católica de Salta,Facultad de Ingeniería,"Computación, Sistemas e Informática",Licenciatura en Informática,Privada                                           ,Grado               ,22,18,4,,,,22,18,4,6,5,1,
2015,Universidad                                       ,Universidad Empresarial Siglo 21,Grado,"Computación, Sistemas e Informática",Licenciatura en Informática - MD,Privada                                           ,Grado               ,"1,297","1,126",171,587,509,78,710,617,93,6,6,,
2015,Universidad                                       ,Universidad Juan Agustín Maza,Facultad de Ciencias Empresariales,"Computación, Sistemas e Informática",Licenciatura en Informática,Privada                                           ,Grado               ,2,2,,,,,2,2,,2,1,1,
2015,Universidad                                       ,Universidad Nacional de La Plata,Facultad de Informática,"Computación, Sistemas e Informática",Licenciatura en Informática,Estatal                                           ,Grado               ,"1,129",964,165,165,142,23,964,822,142,12,11,1,
2015,Universidad                                       ,Universidad Nacional de Quilmes,Departamento de Ciencia y Tecnología,"Computación, Sistemas e Informática",Licenciatura en Informática,Estatal                                           ,Grado               ,406,355,51,271,241,30,135,114,21,,,,
