,Estudiantes Mujeres,Egresados Mujeres,Año,Carrera,Reinscriptos Mujeres,Título,Egresados Varones,Unidad Académica,Total de Nuevos Inscriptos,Total de Estudiantes,Total de Egresados,Institución,Total de Reinscriptos,Estudiantes Varones,Nivel de la Oferta,Nuevos Inscriptos Varones,Reinscriptos Varones,Nuevas Inscriptas Mujeres,Gestión,Tipo de Institución
,353,2,2012,"Computación, Sistemas e Informática",307,Licenciatura en Ciencias de la Computación,34,Facultad de Ciencias Exactas y Naturales,372,"2,286",36,Universidad de Buenos Aires,"1,914","1,933",Grado               ,326,"1,607",46,Estatal                                           ,Universidad                                       
,,,2013,"Computación, Sistemas e Informática",,Licenciatura en Ciencias de la Computación,3,Departamento de Sistemas,,12,3,Universidad CAECE,12,12,Grado               ,,12,,Privada                                           ,Universidad                                       
,121,1,2013,"Computación, Sistemas e Informática",93,Licenciatura en Ciencias de la Computación,29,"Facultad de Matemáticas, Astronomía y Física",178,695,30,Universidad Nacional de Córdoba,517,574,Grado               ,150,424,28,Estatal                                           ,Universidad                                       
,42,1,2013,"Computación, Sistemas e Informática",32,Licenciatura en Ciencias de la Computación,5,"Facultad de Ciencias Exactas, Ingeniería y Agrimensura",64,315,6,Universidad Nacional de Rosario,251,273,Grado               ,54,219,10,Estatal                                           ,Universidad                                       
,38,,2013,"Computación, Sistemas e Informática",32,Licenciatura en Ciencias de la Computación,13,"Facultad de Ciencias Exactas, Físico-Químicas y Naturales",40,239,13,Universidad Nacional de Río Cuarto,199,201,Grado               ,34,167,6,Estatal                                           ,Universidad                                       
,72,,2013,"Computación, Sistemas e Informática",56,Licenciatura en Ciencias de la Computación,1,"Facultad de Ciencias Exactas, Físicas y Naturales",102,456,1,Universidad Nacional de San Juan,354,384,Grado               ,86,298,16,Estatal                                           ,Universidad                                       
,53,3,2013,"Computación, Sistemas e Informática",45,Licenciatura en Ciencias de la Computación,9,Facultad de Cs. Físico-Matemáticas y Naturales,39,220,12,Universidad Nacional de San Luis,181,167,Grado               ,31,136,8,Estatal                                           ,Universidad                                       
,107,1,2013,"Computación, Sistemas e Informática",64,Licenciatura en Ciencias de la Computación,5,Facultad de Informática,279,556,6,Universidad Nacional del Comahue,277,449,Grado               ,236,213,43,Estatal                                           ,Universidad                                       
,67,6,2013,"Computación, Sistemas e Informática",58,Licenciatura en Ciencias de la Computación,13,Departamento de Ciencias e Ingeniería de la Computación,33,290,19,Universidad Nacional del Sur,257,223,Grado               ,24,199,9,Estatal                                           ,Universidad                                       
,339,3,2013,"Computación, Sistemas e Informática",297,Licenciatura en Ciencias de la Computación,30,Facultad de Ciencias Exactas y Naturales,302,"2,254",33,Universidad de Buenos Aires,"1,952","1,915",Grado               ,260,"1,655",42,Estatal                                           ,Universidad                                       
,,,2014,"Computación, Sistemas e Informática",,Licenciatura en Ciencias de la Computación,1,Departamento de Sistemas,,1,1,Universidad CAECE,1,1,Grado               ,,1,,Privada                                           ,Universidad                                       
,125,3,2014,"Computación, Sistemas e Informática",92,Licenciatura en Ciencias de la Computación,14,"Facultad de Matemáticas, Astronomía y Física",201,722,17,Universidad Nacional de Córdoba,521,597,Grado               ,168,429,33,Estatal                                           ,Universidad                                       
,48,1,2014,"Computación, Sistemas e Informática",35,Licenciatura en Ciencias de la Computación,11,"Facultad de Ciencias Exactas, Ingeniería y Agrimensura",125,373,12,Universidad Nacional de Rosario,248,325,Grado               ,112,213,13,Estatal                                           ,Universidad                                       
,41,2,2014,"Computación, Sistemas e Informática",34,Licenciatura en Ciencias de la Computación,6,"Facultad de Ciencias Exactas, Físico-Químicas y Naturales",60,245,8,Universidad Nacional de Río Cuarto,185,204,Grado               ,53,151,7,Estatal                                           ,Universidad                                       
,62,1,2014,"Computación, Sistemas e Informática",51,Licenciatura en Ciencias de la Computación,5,"Facultad de Ciencias Exactas, Físicas y Naturales",89,444,6,Universidad Nacional de San Juan,355,382,Grado               ,78,304,11,Estatal                                           ,Universidad                                       
,39,1,2014,"Computación, Sistemas e Informática",38,Licenciatura en Ciencias de la Computación,6,Facultad de Cs. Físico-Matemáticas y Naturales,24,162,7,Universidad Nacional de San Luis,138,123,Grado               ,23,100,1,Estatal                                           ,Universidad                                       
,127,2,2014,"Computación, Sistemas e Informática",85,Licenciatura en Ciencias de la Computación,7,Facultad de Informática,213,614,9,Universidad Nacional del Comahue,401,487,Grado               ,171,316,42,Estatal                                           ,Universidad                                       
,59,5,2014,"Computación, Sistemas e Informática",50,Licenciatura en Ciencias de la Computación,10,Departamento de Ciencias e Ingeniería de la Computación,39,258,15,Universidad Nacional del Sur,219,199,Grado               ,30,169,9,Estatal                                           ,Universidad                                       
,377,4,2014,"Computación, Sistemas e Informática",295,Licenciatura en Ciencias de la Computación,28,Facultad de Ciencias Exactas y Naturales,348,"2,259",32,Universidad de Buenos Aires,"1,911","1,882",Grado               ,266,"1,616",82,Estatal                                           ,Universidad                                       
,,,2015,"Computación, Sistemas e Informática",,Licenciatura en Ciencias de la Computación,1,Departamento de Sistemas,,1,1,Universidad CAECE,1,1,Grado               ,,1,,Privada                                           ,Universidad                                       
,132,1,2015,"Computación, Sistemas e Informática",90,Licenciatura en Ciencias de la Computación,11,"Facultad de Matemáticas, Astronomía y Física",194,747,12,Universidad Nacional de Córdoba,553,615,Grado               ,152,463,42,Estatal                                           ,Universidad                                       
,46,1,2015,"Computación, Sistemas e Informática",40,Licenciatura en Ciencias de la Computación,6,"Facultad de Ciencias Exactas, Ingeniería y Agrimensura",85,369,7,Universidad Nacional de Rosario,284,323,Grado               ,79,244,6,Estatal                                           ,Universidad                                       
,36,2,2015,"Computación, Sistemas e Informática",31,Licenciatura en Ciencias de la Computación,12,"Facultad de Ciencias Exactas, Físico-Químicas y Naturales",51,243,14,Universidad Nacional de Río Cuarto,192,207,Grado               ,46,161,5,Estatal                                           ,Universidad                                       
,60,1,2015,"Computación, Sistemas e Informática",48,Licenciatura en Ciencias de la Computación,4,"Facultad de Ciencias Exactas, Físicas y Naturales",79,420,5,Universidad Nacional de San Juan,341,360,Grado               ,67,293,12,Estatal                                           ,Universidad                                       
,31,3,2015,"Computación, Sistemas e Informática",29,Licenciatura en Ciencias de la Computación,3,Facultad de Cs. Físico-Matemáticas y Naturales,25,155,6,Universidad Nacional de San Luis,130,124,Grado               ,23,101,2,Estatal                                           ,Universidad                                       
,116,3,2015,"Computación, Sistemas e Informática",92,Licenciatura en Ciencias de la Computación,4,Facultad de Informática,149,582,7,Universidad Nacional del Comahue,433,466,Grado               ,125,341,24,Estatal                                           ,Universidad                                       
,48,5,2015,"Computación, Sistemas e Informática",44,Licenciatura en Ciencias de la Computación,7,Departamento de Ciencias e Ingeniería de la Computación,32,225,12,Universidad Nacional del Sur,193,177,Grado               ,28,149,4,Estatal                                           ,Universidad                                       
,279,7,2015,"Computación, Sistemas e Informática",235,Licenciatura en Ciencias de la Computación,15,Facultad de Ciencias Exactas y Naturales,332,"1,954",22,Universidad de Buenos Aires,"1,622","1,675",Grado               ,288,"1,387",44,Estatal                                           ,Universidad                                       
,,,2010,"Computación, Sistemas e Informática",,Programador Universitario,2,Facultad de Ingeniería e Informática,,,2,Universidad Católica de Salta,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,1,2010,"Computación, Sistemas e Informática",,Programador Universitario,1,Facultad de Informática,,,2,Universidad Champagnat,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,150,4,2010,"Computación, Sistemas e Informática",106,Analista Programador Universitario,14,Facultad de Ingeniería,178,554,18,Universidad Nacional de Jujuy,376,404,Pregrado            ,134,270,44,Estatal                                           ,Universidad                                       
,198,5,2010,"Computación, Sistemas e Informática",148,Analista Programador Universitario,11,Facultad de Informática,235,815,16,Universidad Nacional de La Plata,580,617,Pregrado            ,185,432,50,Estatal                                           ,Universidad                                       
,,3,2010,"Computación, Sistemas e Informática",,Analista Programador Universitario,2,Rectorado,,,5,Universidad Nacional de Luján,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,5,3,2010,"Computación, Sistemas e Informática",5,Programador Universitario,13,"Facultad de Ciencias Exactas, Físicas y Naturales",,25,16,Universidad Nacional de San Juan,25,20,Pregrado            ,,20,,Estatal                                           ,Universidad                                       
,,5,2010,"Computación, Sistemas e Informática",,Analista Programador Universitario,7,Facultad de Cs. Físico-Matemáticas y Naturales,,,12,Universidad Nacional de San Luis,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,123,1,2010,"Computación, Sistemas e Informática",91,Programador Universitario en Informática,1,Facultad de Ciencias  Exactas y Tecnológicas,129,392,2,Universidad Nacional de Santiago del Estero,263,269,Pregrado            ,97,172,32,Estatal                                           ,Universidad                                       
,60,1,2010,"Computación, Sistemas e Informática",46,Programador Universitario,,Facultad de Ciencias Exactas y Tecnología,40,178,1,Universidad Nacional de Tucumán,138,118,Pregrado            ,26,92,14,Estatal                                           ,Universidad                                       
,12,2,2010,"Computación, Sistemas e Informática",5,Analista Programador Universitario,3,Facultad de Ingenieria - Sede Puerto Madryn,30,89,5,Universidad Nacional de la Patagonia San Juan Bosco,59,77,Pregrado            ,23,54,7,Estatal                                           ,Universidad                                       
,46,3,2010,"Computación, Sistemas e Informática",39,Analista Programador Universitario,6,Facultad de Ingeniería - Sede Comodoro Rivadavia,32,159,9,Universidad Nacional de la Patagonia San Juan Bosco,127,113,Pregrado            ,25,88,7,Estatal                                           ,Universidad                                       
,45,1,2010,"Computación, Sistemas e Informática",35,Analista Programador Universitario,6,Facultad de Ingeniería - Sede Trelew,52,181,7,Universidad Nacional de la Patagonia San Juan Bosco,129,136,Pregrado            ,42,94,10,Estatal                                           ,Universidad                                       
,3,,2010,"Computación, Sistemas e Informática",3,Analista Programador Universitario,2,Facultad de Ingeniería - Sede Ushuaia,,26,2,Universidad Nacional de la Patagonia San Juan Bosco,26,23,Pregrado            ,,23,,Estatal                                           ,Universidad                                       
,,3,2010,"Computación, Sistemas e Informática",,Analista Programador Universitario,48,Facultad de Ciencias Exactas,,,51,Universidad Nacional del Centro de la Provincia de Buenos Aires,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,23,2010,"Computación, Sistemas e Informática",,Programador Universitario de Aplicaciones,25,Facultad de Ciencias Exactas y Naturales y Agrimensura,,,48,Universidad Nacional del Nordeste,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,1,2011,"Computación, Sistemas e Informática",,Programador Universitario,8,Facultad de Ingeniería,,,9,Universidad Católica de Salta,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,,2011,"Computación, Sistemas e Informática",,Programador Universitario,3,Facultad de Informática,,,3,Universidad Champagnat,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,154,10,2011,"Computación, Sistemas e Informática",109,Analista Programador Universitario,28,Facultad de Ingeniería,182,574,38,Universidad Nacional de Jujuy,392,420,Pregrado            ,137,283,45,Estatal                                           ,Universidad                                       
,,10,2011,"Computación, Sistemas e Informática",,Analista Programador Universitario,57,Departamento de Ingeniería e Investigaciones Tecnológicas,,,67,Universidad Nacional de La Matanza,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,213,8,2011,"Computación, Sistemas e Informática",166,Analista Programador Universitario,18,Facultad de Informática,283,968,26,Universidad Nacional de La Plata,685,755,Pregrado            ,236,519,47,Estatal                                           ,Universidad                                       
,,3,2011,"Computación, Sistemas e Informática",,Programador Universitario,9,Sede La Rioja,,,12,Universidad Nacional de La Rioja,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,1,2011,"Computación, Sistemas e Informática",,Analista Programador Universitario,11,Rectorado,,,12,Universidad Nacional de Luján,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,7,2,2011,"Computación, Sistemas e Informática",7,Programador Universitario,3,"Facultad de Ciencias Exactas, Físicas y Naturales",,11,5,Universidad Nacional de San Juan,11,4,Pregrado            ,,4,,Estatal                                           ,Universidad                                       
,,5,2011,"Computación, Sistemas e Informática",,Analista Programador Universitario,4,Facultad de Cs. Físico-Matemáticas y Naturales,,,9,Universidad Nacional de San Luis,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,101,5,2011,"Computación, Sistemas e Informática",82,Programador Universitario en Informática,7,Facultad de Ciencias  Exactas y Tecnológicas,98,353,12,Universidad Nacional de Santiago del Estero,255,252,Pregrado            ,79,173,19,Estatal                                           ,Universidad                                       
,41,5,2011,"Computación, Sistemas e Informática",37,Programador Universitario,6,Facultad de Ciencias Exactas y Tecnología,17,129,11,Universidad Nacional de Tucumán,112,88,Pregrado            ,13,75,4,Estatal                                           ,Universidad                                       
,7,1,2011,"Computación, Sistemas e Informática",4,Analista Programador Universitario,,Facultad de Ingenieria - Sede Puerto Madryn,17,78,1,Universidad Nacional de la Patagonia San Juan Bosco,61,71,Pregrado            ,14,57,3,Estatal                                           ,Universidad                                       
,43,3,2011,"Computación, Sistemas e Informática",27,Analista Programador Universitario,7,Facultad de Ingeniería - Sede Comodoro Rivadavia,40,139,10,Universidad Nacional de la Patagonia San Juan Bosco,99,96,Pregrado            ,24,72,16,Estatal                                           ,Universidad                                       
,33,2,2011,"Computación, Sistemas e Informática",30,Analista Programador Universitario,4,Facultad de Ingeniería - Sede Trelew,21,152,6,Universidad Nacional de la Patagonia San Juan Bosco,131,119,Pregrado            ,18,101,3,Estatal                                           ,Universidad                                       
,3,,2011,"Computación, Sistemas e Informática",3,Analista Programador Universitario,3,Facultad de Ingeniería - Sede Ushuaia,2,33,3,Universidad Nacional de la Patagonia San Juan Bosco,31,30,Pregrado            ,2,28,,Estatal                                           ,Universidad                                       
,,11,2011,"Computación, Sistemas e Informática",,Analista Programador Universitario,48,Facultad de Ciencias Exactas,,,59,Universidad Nacional del Centro de la Provincia de Buenos Aires,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,19,2011,"Computación, Sistemas e Informática",,Programador Universitario de Aplicaciones,26,Facultad de Ciencias Exactas y Naturales y Agrimensura,,,45,Universidad Nacional del Nordeste,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,,2011,"Computación, Sistemas e Informática",,Programador Universitario,7,Facultad de Ingeniería,,,7,Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,4,2012,"Computación, Sistemas e Informática",,Programador Universitario,,Facultad de Ingeniería,,,4,Universidad Católica de Salta,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,64,,2012,"Computación, Sistemas e Informática",,Analista Programador Universitario,,Secretaría Académica,236,236,,Universidad Nacional José C. Paz,,172,Pregrado            ,172,,64,Estatal                                           ,Universidad                                       
,140,1,2012,"Computación, Sistemas e Informática",113,Analista Programador Universitario,15,Facultad de Ingeniería,149,575,16,Universidad Nacional de Jujuy,426,435,Pregrado            ,122,313,27,Estatal                                           ,Universidad                                       
,,6,2012,"Computación, Sistemas e Informática",,Analista Programador Universitario,59,Departamento de Ingeniería e Investigaciones Tecnológicas,,,65,Universidad Nacional de La Matanza,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,181,10,2012,"Computación, Sistemas e Informática",128,Analista Programador Universitario,44,Facultad de Informática,320,964,54,Universidad Nacional de La Plata,644,783,Pregrado            ,267,516,53,Estatal                                           ,Universidad                                       
,,,2012,"Computación, Sistemas e Informática",,Analista Programador Universitario,1,Departamento de Desarrollo Productivo y Tecnológico,,,1,Universidad Nacional de Lanús,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,3,2012,"Computación, Sistemas e Informática",,Analista Programador Universitario,6,Rectorado,,,9,Universidad Nacional de Luján,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,13,6,2012,"Computación, Sistemas e Informática",13,Programador Universitario,1,"Facultad de Ciencias Exactas, Físicas y Naturales",,33,7,Universidad Nacional de San Juan,33,20,Pregrado            ,,20,,Estatal                                           ,Universidad                                       
,,,2012,"Computación, Sistemas e Informática",,Analista Programador Universitario,6,Facultad de Cs. Físico-Matemáticas y Naturales,,,6,Universidad Nacional de San Luis,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,84,3,2012,"Computación, Sistemas e Informática",76,Programador Universitario en Informática,1,Facultad de Ciencias  Exactas y Tecnológicas,66,289,4,Universidad Nacional de Santiago del Estero,223,205,Pregrado            ,58,147,8,Estatal                                           ,Universidad                                       
,33,1,2012,"Computación, Sistemas e Informática",28,Programador Universitario,,Facultad de Ciencias Exactas y Tecnología,23,136,1,Universidad Nacional de Tucumán,113,103,Pregrado            ,18,85,5,Estatal                                           ,Universidad                                       
,5,,2012,"Computación, Sistemas e Informática",3,Analista Programador Universitario,3,Facultad de Ingenieria - Sede Puerto Madryn,19,71,3,Universidad Nacional de la Patagonia San Juan Bosco,52,66,Pregrado            ,17,49,2,Estatal                                           ,Universidad                                       
,43,2,2012,"Computación, Sistemas e Informática",34,Analista Programador Universitario,4,Facultad de Ingeniería - Sede Comodoro Rivadavia,33,147,6,Universidad Nacional de la Patagonia San Juan Bosco,114,104,Pregrado            ,24,80,9,Estatal                                           ,Universidad                                       
,20,2,2012,"Computación, Sistemas e Informática",18,Analista Programador Universitario,6,Facultad de Ingeniería - Sede Trelew,18,108,8,Universidad Nacional de la Patagonia San Juan Bosco,90,88,Pregrado            ,16,72,2,Estatal                                           ,Universidad                                       
,1,,2012,"Computación, Sistemas e Informática",1,Analista Programador Universitario,,Facultad de Ingeniería - Sede Ushuaia,,7,,Universidad Nacional de la Patagonia San Juan Bosco,7,6,Pregrado            ,,6,,Estatal                                           ,Universidad                                       
,,8,2012,"Computación, Sistemas e Informática",,Analista Programador Universitario,45,Facultad de Ciencias Exactas,,,53,Universidad Nacional del Centro de la Provincia de Buenos Aires,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,,2012,"Computación, Sistemas e Informática",,Analista Programador Universitario,1,Facultad de Ciencias Exactas y Naturales y Agrimensura,,,1,Universidad Nacional del Nordeste,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,15,2012,"Computación, Sistemas e Informática",,Programador Universitario de Aplicaciones,30,Facultad de Ciencias Exactas y Naturales y Agrimensura,,,45,Universidad Nacional del Nordeste,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,3,2012,"Computación, Sistemas e Informática",,Programador Universitario,6,Facultad de Ingeniería,,,9,Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,,2013,"Computación, Sistemas e Informática",,Programador Universitario,1,Facultad de Informática,,,1,Universidad Champagnat,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,64,,2013,"Computación, Sistemas e Informática",,Analista Programador Universitario,,Secretaría Académica,236,236,,Universidad Nacional José C. Paz,,172,Pregrado            ,172,,64,Estatal                                           ,Universidad                                       
,143,8,2013,"Computación, Sistemas e Informática",116,Analista Programador Universitario,16,Facultad de Ingeniería,122,603,24,Universidad Nacional de Jujuy,481,460,Pregrado            ,95,365,27,Estatal                                           ,Universidad                                       
,,5,2013,"Computación, Sistemas e Informática",,Analista Programador Universitario,39,Departamento de Ingeniería e Investigaciones Tecnológicas,,,44,Universidad Nacional de La Matanza,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,197,12,2013,"Computación, Sistemas e Informática",152,Analista Programador Universitario,45,Facultad de Informática,263,"1,036",57,Universidad Nacional de La Plata,773,839,Pregrado            ,218,621,45,Estatal                                           ,Universidad                                       
,,,2013,"Computación, Sistemas e Informática",,Analista Programador Universitario,2,Departamento de Desarrollo Productivo y Tecnológico,,,2,Universidad Nacional de Lanús,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,1,2013,"Computación, Sistemas e Informática",,Analista Programador Universitario,14,Rectorado,,,15,Universidad Nacional de Luján,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,6,1,2013,"Computación, Sistemas e Informática",6,Programador Universitario,2,"Facultad de Ciencias Exactas, Físicas y Naturales",,20,3,Universidad Nacional de San Juan,20,14,Pregrado            ,,14,,Estatal                                           ,Universidad                                       
,,5,2013,"Computación, Sistemas e Informática",,Analista Programador Universitario,4,Facultad de Cs. Físico-Matemáticas y Naturales,,,9,Universidad Nacional de San Luis,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,80,3,2013,"Computación, Sistemas e Informática",61,Programador Universitario en Informática,4,Facultad de Ciencias  Exactas y Tecnológicas,99,312,7,Universidad Nacional de Santiago del Estero,213,232,Pregrado            ,80,152,19,Estatal                                           ,Universidad                                       
,39,1,2013,"Computación, Sistemas e Informática",32,Programador Universitario,3,Facultad de Ciencias Exactas y Tecnología,31,159,4,Universidad Nacional de Tucumán,128,120,Pregrado            ,24,96,7,Estatal                                           ,Universidad                                       
,6,,2013,"Computación, Sistemas e Informática",,Programador Universitario de Sistemas,,Escuela de Ingenieria,31,31,,Universidad Nacional de Villa Mercedes,,25,Pregrado            ,25,,6,Estatal                                           ,Universidad                                       
,3,,2013,"Computación, Sistemas e Informática",3,Analista Programador Universitario,,Facultad de Ingenieria - Sede Puerto Madryn,18,68,,Universidad Nacional de la Patagonia San Juan Bosco,50,65,Pregrado            ,18,47,,Estatal                                           ,Universidad                                       
,37,1,2013,"Computación, Sistemas e Informática",32,Analista Programador Universitario,5,Facultad de Ingeniería - Sede Comodoro Rivadavia,39,152,6,Universidad Nacional de la Patagonia San Juan Bosco,113,115,Pregrado            ,34,81,5,Estatal                                           ,Universidad                                       
