,Estudiantes Mujeres,Egresados Mujeres,Año,Carrera,Reinscriptos Mujeres,Título,Egresados Varones,Unidad Académica,Total de Nuevos Inscriptos,Total de Estudiantes,Total de Egresados,Institución,Total de Reinscriptos,Estudiantes Varones,Nivel de la Oferta,Nuevos Inscriptos Varones,Reinscriptos Varones,Nuevas Inscriptas Mujeres,Gestión,Tipo de Institución
,7,,2010,"Computación, Sistemas e Informática",6,Licenciatura en Informática,,ANEXO MAR DEL PLATA,3,35,,Universidad Atlántida Argentina,32,28,Grado               ,2,26,1,Privada                                           ,Universidad                                       
,4,,2010,"Computación, Sistemas e Informática",2,Licenciatura en Informática,,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,30,64,,Universidad Atlántida Argentina,34,60,Grado               ,28,32,2,Privada                                           ,Universidad                                       
,3,1,2010,"Computación, Sistemas e Informática",3,Licenciatura en Informática,3,Vicerrectorado de Asuntos Académicos,,12,4,Universidad Blas Pascal,12,9,Grado               ,,9,,Privada                                           ,Universidad                                       
,83,2,2010,"Computación, Sistemas e Informática",68,Licenciatura en Informática,28,Facultad de Ingeniería e Informática,28,193,30,Universidad Católica de Salta,165,110,Grado               ,13,97,15,Privada                                           ,Universidad                                       
,,,2010,"Computación, Sistemas e Informática",,Licenciatura en Informática,,Grado,,3,,Universidad Empresarial Siglo 21,3,3,Grado               ,,3,,Privada                                           ,Universidad                                       
,79,,2010,"Computación, Sistemas e Informática",29,Licenciatura en Informática - MD,3,Grado,363,565,3,Universidad Empresarial Siglo 21,202,486,Grado               ,313,173,50,Privada                                           ,Universidad                                       
,11,1,2010,"Computación, Sistemas e Informática",11,Licenciatura en Informática,2,Facultad de Ciencias Empresariales,,57,3,Universidad Juan Agustín Maza,57,46,Grado               ,,46,,Privada                                           ,Universidad                                       
,202,7,2010,"Computación, Sistemas e Informática",172,Licenciatura en Informática,30,Facultad de Informática,213,"1,227",37,Universidad Nacional de La Plata,"1,014","1,025",Grado               ,183,842,30,Estatal                                           ,Universidad                                       
,41,2,2010,"Computación, Sistemas e Informática",41,Licenciatura en Informática - Ciclo de Licenciatura,30,Facultad de Ingeniería,,192,32,Universidad Nacional de Lomas de Zamora,192,151,Grado               ,,151,,Estatal                                           ,Universidad                                       
,59,3,2010,"Computación, Sistemas e Informática",28,Licenciatura en Informática,4,Facultad de Ciencias Exactas y Tecnología,131,222,7,Universidad Nacional de Tucumán,91,163,Grado               ,100,63,31,Estatal                                           ,Universidad                                       
,2,,2010,"Computación, Sistemas e Informática",,Licenciatura en Informática - Ciclo de Licenciatura,2,Instituto de Ciencias Básicas,30,36,2,Universidad Nacional de Villa María,6,34,Grado               ,28,6,2,Estatal                                           ,Universidad                                       
,2,2,2010,"Computación, Sistemas e Informática",2,Licenciatura en Informática,,Facultad de Ingenieria - Sede Puerto Madryn,6,40,2,Universidad Nacional de la Patagonia San Juan Bosco,34,38,Grado               ,6,32,,Estatal                                           ,Universidad                                       
,37,1,2010,"Computación, Sistemas e Informática",28,Licenciatura en Informática,5,Facultad de Ingeniería - Sede Comodoro Rivadavia,38,125,6,Universidad Nacional de la Patagonia San Juan Bosco,87,88,Grado               ,29,59,9,Estatal                                           ,Universidad                                       
,23,1,2010,"Computación, Sistemas e Informática",19,Licenciatura en Informática,1,Facultad de Ingeniería - Sede Trelew,11,86,2,Universidad Nacional de la Patagonia San Juan Bosco,75,63,Grado               ,7,56,4,Estatal                                           ,Universidad                                       
,3,,2010,"Computación, Sistemas e Informática",3,Licenciatura en Informática,,Facultad de Ingeniería - Sede Ushuaia,,19,,Universidad Nacional de la Patagonia San Juan Bosco,19,16,Grado               ,,16,,Estatal                                           ,Universidad                                       
,49,8,2010,"Computación, Sistemas e Informática",27,Licenciatura en Informática,64,Facultad de Ingeniería,191,424,72,Universidad de Palermo,233,375,Grado               ,169,206,22,Privada                                           ,Universidad                                       
,55,1,2011,"Computación, Sistemas e Informática",30,Licenciatura en Informática,13,Facultad de Ingeniería y Ciencias Exactas,146,362,14,Universidad Argentina de la Empresa,216,307,Grado               ,121,186,25,Privada                                           ,Universidad                                       
,10,1,2011,"Computación, Sistemas e Informática",8,Licenciatura en Informática,4,ANEXO MAR DEL PLATA,4,32,5,Universidad Atlántida Argentina,28,22,Grado               ,2,20,2,Privada                                           ,Universidad                                       
,4,1,2011,"Computación, Sistemas e Informática",4,Licenciatura en Informática,1,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,23,72,2,Universidad Atlántida Argentina,49,68,Grado               ,23,45,,Privada                                           ,Universidad                                       
,62,3,2011,"Computación, Sistemas e Informática",62,Licenciatura en Informática,34,Facultad de Ingeniería,,184,37,Universidad Católica de Salta,184,122,Grado               ,,122,,Privada                                           ,Universidad                                       
,,,2011,"Computación, Sistemas e Informática",,Licenciatura en Informática,1,Grado,,1,1,Universidad Empresarial Siglo 21,1,1,Grado               ,,1,,Privada                                           ,Universidad                                       
,111,,2011,"Computación, Sistemas e Informática",33,Licenciatura en Informática - MD,1,Grado,515,785,1,Universidad Empresarial Siglo 21,270,674,Grado               ,437,237,78,Privada                                           ,Universidad                                       
,3,2,2011,"Computación, Sistemas e Informática",3,Licenciatura en Informática,2,Facultad de Ciencias Empresariales,,25,4,Universidad Juan Agustín Maza,25,22,Grado               ,,22,,Privada                                           ,Universidad                                       
,209,4,2011,"Computación, Sistemas e Informática",191,Licenciatura en Informática,20,Facultad de Informática,175,"1,313",24,Universidad Nacional de La Plata,"1,138","1,104",Grado               ,157,947,18,Estatal                                           ,Universidad                                       
,35,17,2011,"Computación, Sistemas e Informática",35,Licenciatura en Informática - Ciclo de Licenciatura,53,Facultad de Ingeniería,,121,70,Universidad Nacional de Lomas de Zamora,121,86,Grado               ,,86,,Estatal                                           ,Universidad                                       
,26,1,2011,"Computación, Sistemas e Informática",20,Licenciatura en Informática,,Facultad de Ciencias Exactas y Tecnología,20,91,1,Universidad Nacional de Tucumán,71,65,Grado               ,14,51,6,Estatal                                           ,Universidad                                       
,2,,2011,"Computación, Sistemas e Informática",1,Licenciatura en Informática - Ciclo de Licenciatura,,Instituto de Ciencias Básicas,11,33,,Universidad Nacional de Villa María,22,31,Grado               ,10,21,1,Estatal                                           ,Universidad                                       
,5,,2011,"Computación, Sistemas e Informática",3,Licenciatura en Informática,,Facultad de Ingenieria - Sede Puerto Madryn,19,49,,Universidad Nacional de la Patagonia San Juan Bosco,30,44,Grado               ,17,27,2,Estatal                                           ,Universidad                                       
,27,,2011,"Computación, Sistemas e Informática",16,Licenciatura en Informática,1,Facultad de Ingeniería - Sede Comodoro Rivadavia,31,98,1,Universidad Nacional de la Patagonia San Juan Bosco,67,71,Grado               ,20,51,11,Estatal                                           ,Universidad                                       
,24,1,2011,"Computación, Sistemas e Informática",23,Licenciatura en Informática,5,Facultad de Ingeniería - Sede Trelew,1,77,6,Universidad Nacional de la Patagonia San Juan Bosco,76,53,Grado               ,,53,1,Estatal                                           ,Universidad                                       
,5,,2011,"Computación, Sistemas e Informática",5,Licenciatura en Informática,3,Facultad de Ingeniería - Sede Ushuaia,1,27,3,Universidad Nacional de la Patagonia San Juan Bosco,26,22,Grado               ,1,21,,Estatal                                           ,Universidad                                       
,43,9,2011,"Computación, Sistemas e Informática",32,Licenciatura en Informática,76,Facultad de Ingeniería,149,438,85,Universidad de Palermo,289,395,Grado               ,138,257,11,Privada                                           ,Universidad                                       
,48,2,2012,"Computación, Sistemas e Informática",43,Licenciatura en Informática,17,Facultad de Ingeniería y Ciencias Exactas,35,314,19,Universidad Argentina de la Empresa,279,266,Grado               ,30,236,5,Privada                                           ,Universidad                                       
,5,,2012,"Computación, Sistemas e Informática",5,Licenciatura en Informática,,ANEXO MAR DEL PLATA,,16,,Universidad Atlántida Argentina,16,11,Grado               ,,11,,Privada                                           ,Universidad                                       
,2,1,2012,"Computación, Sistemas e Informática",2,Licenciatura en Informática,1,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,1,33,2,Universidad Atlántida Argentina,32,31,Grado               ,1,30,,Privada                                           ,Universidad                                       
,1,1,2012,Ingeniería en Sistemas,1,Licenciatura en Informática,1,Vicerrectorado de Asuntos Académicos,,2,2,Universidad Blas Pascal,2,1,Grado               ,,1,,Privada                                           ,Universidad                                       
,22,2,2012,"Computación, Sistemas e Informática",22,Licenciatura en Informática,15,Facultad de Ingeniería,,116,17,Universidad Católica de Salta,116,94,Grado               ,,94,,Privada                                           ,Universidad                                       
,,,2012,"Computación, Sistemas e Informática",,Licenciatura en Informática,,Grado,,1,,Universidad Empresarial Siglo 21,1,1,Grado               ,,1,,Privada                                           ,Universidad                                       
,128,,2012,"Computación, Sistemas e Informática",40,Licenciatura en Informática - MD,1,Grado,572,923,1,Universidad Empresarial Siglo 21,351,795,Grado               ,484,311,88,Privada                                           ,Universidad                                       
,4,,2012,"Computación, Sistemas e Informática",4,Licenciatura en Informática,1,Facultad de Ciencias Empresariales,,17,1,Universidad Juan Agustín Maza,17,13,Grado               ,,13,,Privada                                           ,Universidad                                       
,223,14,2012,"Computación, Sistemas e Informática",188,Licenciatura en Informática,27,Facultad de Informática,206,"1,337",41,Universidad Nacional de La Plata,"1,131","1,114",Grado               ,171,943,35,Estatal                                           ,Universidad                                       
,18,14,2012,"Computación, Sistemas e Informática",18,Licenciatura en Informática - Ciclo de Licenciatura,27,Facultad de Ingeniería,,51,41,Universidad Nacional de Lomas de Zamora,51,33,Grado               ,,33,,Estatal                                           ,Universidad                                       
,29,,2012,"Computación, Sistemas e Informática",27,Licenciatura en Informática,3,Facultad de Ciencias Exactas y Tecnología,19,107,3,Universidad Nacional de Tucumán,88,78,Grado               ,17,61,2,Estatal                                           ,Universidad                                       
,1,1,2012,"Computación, Sistemas e Informática",1,Licenciatura en Informática - Ciclo de Licenciatura,,Instituto de Ciencias Básicas,10,24,1,Universidad Nacional de Villa María,14,23,Grado               ,10,13,,Estatal                                           ,Universidad                                       
,5,,2012,"Computación, Sistemas e Informática",3,Licenciatura en Informática,1,Facultad de Ingenieria - Sede Puerto Madryn,12,55,1,Universidad Nacional de la Patagonia San Juan Bosco,43,50,Grado               ,10,40,2,Estatal                                           ,Universidad                                       
,35,1,2012,"Computación, Sistemas e Informática",30,Licenciatura en Informática,4,Facultad de Ingeniería - Sede Comodoro Rivadavia,31,133,5,Universidad Nacional de la Patagonia San Juan Bosco,102,98,Grado               ,26,72,5,Estatal                                           ,Universidad                                       
,11,1,2012,"Computación, Sistemas e Informática",11,Licenciatura en Informática,1,Facultad de Ingeniería - Sede Trelew,,48,2,Universidad Nacional de la Patagonia San Juan Bosco,48,37,Grado               ,,37,,Estatal                                           ,Universidad                                       
,1,1,2012,"Computación, Sistemas e Informática",1,Licenciatura en Informática,1,Facultad de Ingeniería - Sede Ushuaia,,11,2,Universidad Nacional de la Patagonia San Juan Bosco,11,10,Grado               ,,10,,Estatal                                           ,Universidad                                       
,60,,2012,"Computación, Sistemas e Informática",,Licenciatura en Informática,,Escuela de informática,235,235,,Universidad Nacional del Oeste,,175,Grado               ,175,,60,Estatal                                           ,Universidad                                       
,56,14,2012,"Computación, Sistemas e Informática",28,Licenciatura en Informática,79,Facultad de Ingeniería,147,416,93,Universidad de Palermo,269,360,Grado               ,119,241,28,Privada                                           ,Universidad                                       
,48,4,2013,"Computación, Sistemas e Informática",45,Licenciatura en Informática,20,Facultad de Ingeniería y Ciencias Exactas,29,310,24,Universidad Argentina de la Empresa,281,262,Grado               ,26,236,3,Privada                                           ,Universidad                                       
,4,3,2013,"Computación, Sistemas e Informática",4,Licenciatura en Informática,6,ANEXO MAR DEL PLATA,7,23,9,Universidad Atlántida Argentina,16,19,Grado               ,7,12,,Privada                                           ,Universidad                                       
,1,,2013,"Computación, Sistemas e Informática",1,Licenciatura en Informática,7,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,7,35,7,Universidad Atlántida Argentina,28,34,Grado               ,7,27,,Privada                                           ,Universidad                                       
,,2,2013,Ingeniería en Sistemas,,Licenciatura en Informática,,Vicerrectorado de Asuntos Académicos,,2,2,Universidad Blas Pascal,2,2,Grado               ,,2,,Privada                                           ,Universidad                                       
,7,2,2013,"Computación, Sistemas e Informática",7,Licenciatura en Informática,14,Facultad de Ingeniería,,45,16,Universidad Católica de Salta,45,38,Grado               ,,38,,Privada                                           ,Universidad                                       
,,,2013,"Computación, Sistemas e Informática",,Licenciatura en Informática,,Grado,,1,,Universidad Empresarial Siglo 21,1,1,Grado               ,,1,,Privada                                           ,Universidad                                       
,133,,2013,"Computación, Sistemas e Informática",61,Licenciatura en Informática - MD,2,Grado,518,971,2,Universidad Empresarial Siglo 21,453,838,Grado               ,446,392,72,Privada                                           ,Universidad                                       
,3,,2013,"Computación, Sistemas e Informática",3,Licenciatura en Informática,,Facultad de Ciencias Empresariales,,10,,Universidad Juan Agustín Maza,10,7,Grado               ,,7,,Privada                                           ,Universidad                                       
,218,19,2013,"Computación, Sistemas e Informática",194,Licenciatura en Informática,50,Facultad de Informática,217,"1,344",69,Universidad Nacional de La Plata,"1,127","1,126",Grado               ,193,933,24,Estatal                                           ,Universidad                                       
,3,3,2013,"Computación, Sistemas e Informática",3,Licenciatura en Informática - Ciclo de Licenciatura,15,Facultad de Ingeniería,,18,18,Universidad Nacional de Lomas de Zamora,18,15,Grado               ,,15,,Estatal                                           ,Universidad                                       
,29,1,2013,"Computación, Sistemas e Informática",22,Licenciatura en Informática,2,Facultad de Ciencias Exactas y Tecnología,20,102,3,Universidad Nacional de Tucumán,82,73,Grado               ,13,60,7,Estatal                                           ,Universidad                                       
,1,,2013,"Computación, Sistemas e Informática",,Licenciatura en Informática - Ciclo de Licenciatura,,Instituto de Ciencias Básicas,8,17,,Universidad Nacional de Villa María,9,16,Grado               ,7,9,1,Estatal                                           ,Universidad                                       
,4,,2013,"Computación, Sistemas e Informática",2,Licenciatura en Informática,5,Facultad de Ingenieria - Sede Puerto Madryn,14,54,5,Universidad Nacional de la Patagonia San Juan Bosco,40,50,Grado               ,12,38,2,Estatal                                           ,Universidad                                       
,24,1,2013,"Computación, Sistemas e Informática",23,Licenciatura en Informática,1,Facultad de Ingeniería - Sede Comodoro Rivadavia,17,113,2,Universidad Nacional de la Patagonia San Juan Bosco,96,89,Grado               ,16,73,1,Estatal                                           ,Universidad                                       
,11,2,2013,"Computación, Sistemas e Informática",11,Licenciatura en Informática,3,Facultad de Ingeniería - Sede Trelew,,45,5,Universidad Nacional de la Patagonia San Juan Bosco,45,34,Grado               ,,34,,Estatal                                           ,Universidad                                       
,4,1,2013,"Computación, Sistemas e Informática",4,Licenciatura en Informática,1,Facultad de Ingeniería - Sede Ushuaia,1,19,2,Universidad Nacional de la Patagonia San Juan Bosco,18,15,Grado               ,1,14,,Estatal                                           ,Universidad                                       
,53,,2013,"Computación, Sistemas e Informática",24,Licenciatura en Informática,,Escuela de informática,122,254,,Universidad Nacional del Oeste,132,201,Grado               ,93,108,29,Estatal                                           ,Universidad                                       
,30,1,2013,"Computación, Sistemas e Informática",25,Licenciatura en Informática,42,Facultad de Ingeniería,77,290,43,Universidad de Palermo,213,260,Grado               ,72,188,5,Privada                                           ,Universidad                                       
,46,9,2014,"Computación, Sistemas e Informática",45,Licenciatura en Informática,36,Facultad de Ingeniería y Ciencias Exactas,24,301,45,Universidad Argentina de la Empresa,277,255,Grado               ,23,232,1,Privada                                           ,Universidad                                       
,2,,2014,"Computación, Sistemas e Informática",2,Licenciatura en Informática,3,ANEXO MAR DEL PLATA,4,13,3,Universidad Atlántida Argentina,9,11,Grado               ,4,7,,Privada                                           ,Universidad                                       
,7,1,2014,"Computación, Sistemas e Informática",1,Licenciatura en Informática,2,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,12,30,3,Universidad Atlántida Argentina,18,23,Grado               ,6,17,6,Privada                                           ,Universidad                                       
,3,1,2014,"Computación, Sistemas e Informática",3,Licenciatura en Informática,6,Facultad de Ingeniería,,24,7,Universidad Católica de Salta,24,21,Grado               ,,21,,Privada                                           ,Universidad                                       
,,,2014,"Computación, Sistemas e Informática",,Licenciatura en Informática,,Grado,,1,,Universidad Empresarial Siglo 21,1,1,Grado               ,,1,,Privada                                           ,Universidad                                       
,140,,2014,"Computación, Sistemas e Informática",69,Licenciatura en Informática - MD,2,Grado,600,"1,142",2,Universidad Empresarial Siglo 21,542,"1,002",Grado               ,529,473,71,Privada                                           ,Universidad                                       
,6,1,2014,"Computación, Sistemas e Informática",6,Licenciatura en Informática,4,Facultad de Ciencias Empresariales,,15,5,Universidad Juan Agustín Maza,15,9,Grado               ,,9,,Privada                                           ,Universidad                                       
,180,8,2014,"Computación, Sistemas e Informática",156,Licenciatura en Informática,26,Facultad de Informática,189,"1,235",34,Universidad Nacional de La Plata,"1,046","1,055",Grado               ,165,890,24,Estatal                                           ,Universidad                                       
,17,,2014,"Computación, Sistemas e Informática",13,Licenciatura en Informática,1,Facultad de Ciencias Exactas y Tecnología,15,98,1,Universidad Nacional de Tucumán,83,81,Grado               ,11,70,4,Estatal                                           ,Universidad                                       
,,,2014,"Computación, Sistemas e Informática",,Licenciatura en Informática - Ciclo de Licenciatura,2,Instituto de Ciencias Básicas,3,20,2,Universidad Nacional de Villa María,17,20,Grado               ,3,17,,Estatal                                           ,Universidad                                       
,3,,2014,"Computación, Sistemas e Informática",2,Licenciatura en Informática,1,Facultad de Ingenieria - Sede Puerto Madryn,13,57,1,Universidad Nacional de la Patagonia San Juan Bosco,44,54,Grado               ,12,42,1,Estatal                                           ,Universidad                                       
,19,,2014,"Computación, Sistemas e Informática",15,Licenciatura en Informática,2,Facultad de Ingeniería - Sede Comodoro Rivadavia,16,98,2,Universidad Nacional de la Patagonia San Juan Bosco,82,79,Grado               ,12,67,4,Estatal                                           ,Universidad                                       
,6,2,2014,"Computación, Sistemas e Informática",6,Licenciatura en Informática,4,Facultad de Ingeniería - Sede Trelew,,27,6,Universidad Nacional de la Patagonia San Juan Bosco,27,21,Grado               ,,21,,Estatal                                           ,Universidad                                       
,3,1,2014,"Computación, Sistemas e Informática",3,Licenciatura en Informática,4,Facultad de Ingeniería - Sede Ushuaia,,12,5,Universidad Nacional de la Patagonia San Juan Bosco,12,9,Grado               ,,9,,Estatal                                           ,Universidad                                       
,57,,2014,"Computación, Sistemas e Informática",34,Licenciatura en Informática,,Escuela de informática,116,299,,Universidad Nacional del Oeste,183,242,Grado               ,93,149,23,Estatal                                           ,Universidad                                       
,23,1,2014,"Computación, Sistemas e Informática",15,Licenciatura en Informática,32,Facultad de Ingeniería,85,255,33,Universidad de Palermo,170,232,Grado               ,77,155,8,Privada                                           ,Universidad                                       
,39,4,2015,"Computación, Sistemas e Informática",36,Licenciatura en Informática,32,Facultad de Ingeniería y Ciencias Exactas,19,263,36,Universidad Argentina de la Empresa,244,224,Grado               ,16,208,3,Privada                                           ,Universidad                                       
,1,1,2015,"Computación, Sistemas e Informática",1,Licenciatura en Informática,,ANEXO MAR DEL PLATA,,9,1,Universidad Atlántida Argentina,9,8,Grado               ,,8,,Privada                                           ,Universidad                                       
,4,,2015,"Computación, Sistemas e Informática",2,Licenciatura en Informática,1,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,9,25,1,Universidad Atlántida Argentina,16,21,Grado               ,7,14,2,Privada                                           ,Universidad                                       
,4,1,2015,"Computación, Sistemas e Informática",4,Licenciatura en Informática,5,Facultad de Ingeniería,,22,6,Universidad Católica de Salta,22,18,Grado               ,,18,,Privada                                           ,Universidad                                       
,171,,2015,"Computación, Sistemas e Informática",93,Licenciatura en Informática - MD,6,Grado,587,"1,297",6,Universidad Empresarial Siglo 21,710,"1,126",Grado               ,509,617,78,Privada                                           ,Universidad                                       
,,1,2015,"Computación, Sistemas e Informática",,Licenciatura en Informática,1,Facultad de Ciencias Empresariales,,2,2,Universidad Juan Agustín Maza,2,2,Grado               ,,2,,Privada                                           ,Universidad                                       
,165,1,2015,"Computación, Sistemas e Informática",142,Licenciatura en Informática,11,Facultad de Informática,165,"1,129",12,Universidad Nacional de La Plata,964,964,Grado               ,142,822,23,Estatal                                           ,Universidad                                       
,51,,2015,"Computación, Sistemas e Informática",21,Licenciatura en Informática,,Departamento de Ciencia y Tecnología,271,406,,Universidad Nacional de Quilmes,135,355,Grado               ,241,114,30,Estatal                                           ,Universidad                                       
,15,,2015,"Computación, Sistemas e Informática",11,Licenciatura en Informática,1,Facultad de Ciencias Exactas y Tecnología,11,102,1,Universidad Nacional de Tucumán,91,87,Grado               ,7,80,4,Estatal                                           ,Universidad                                       
,3,,2015,"Computación, Sistemas e Informática",2,Licenciatura en Informática - Ciclo de Licenciatura,1,Instituto de Ciencias Básicas,3,15,1,Universidad Nacional de Villa María,12,12,Grado               ,2,10,1,Estatal                                           ,Universidad                                       
,8,1,2015,"Computación, Sistemas e Informática",2,Licenciatura en Informática,1,Facultad de Ingenieria - Sede Puerto Madryn,19,56,2,Universidad Nacional de la Patagonia San Juan Bosco,37,48,Grado               ,13,35,6,Estatal                                           ,Universidad                                       
,22,3,2015,"Computación, Sistemas e Informática",17,Licenciatura en Informática,6,Facultad de Ingeniería - Sede Comodoro Rivadavia,25,111,9,Universidad Nacional de la Patagonia San Juan Bosco,86,89,Grado               ,20,69,5,Estatal                                           ,Universidad                                       
,4,1,2015,"Computación, Sistemas e Informática",4,Licenciatura en Informática,5,Facultad de Ingeniería - Sede Trelew,,18,6,Universidad Nacional de la Patagonia San Juan Bosco,18,14,Grado               ,,14,,Estatal                                           ,Universidad                                       
,2,,2015,"Computación, Sistemas e Informática",2,Licenciatura en Informática,2,Facultad de Ingeniería - Sede Ushuaia,1,11,2,Universidad Nacional de la Patagonia San Juan Bosco,10,9,Grado               ,1,8,,Estatal                                           ,Universidad                                       
,71,,2015,"Computación, Sistemas e Informática",40,Licenciatura en Informática,,Escuela de informática,135,368,,Universidad Nacional del Oeste,233,297,Grado               ,104,193,31,Estatal                                           ,Universidad                                       
,24,2,2015,"Computación, Sistemas e Informática",18,Licenciatura en Informática,12,Facultad de Ingeniería,37,189,14,Universidad de Palermo,152,165,Grado               ,31,134,6,Privada                                           ,Universidad                                       
,,,2010,"Computación, Sistemas e Informática",,Analista de Sistemas,3,Facultad de Química e Ingeniería Fray Rogelio Bacon,,,3,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,4,2010,"Computación, Sistemas e Informática",,Analista de Sistemas,23,Escuela de Sistemas,,,27,Universidad Argentina John F. Kennedy,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,1,2010,"Computación, Sistemas e Informática",,Analista de Sistemas,4,ANEXO MAR DEL PLATA,,,5,Universidad Atlántida Argentina,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,,2010,"Computación, Sistemas e Informática",,Analista de Sistemas,1,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,,,1,Universidad Atlántida Argentina,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,50,15,2010,"Computación, Sistemas e Informática",32,Analista de Sistemas,21,Facultad de Ciencia y Tecnología,160,265,36,Universidad Autónoma de Entre Ríos,105,215,Pregrado            ,142,73,18,Estatal                                           ,Universidad                                       
,,2,2010,Ingeniería en Sistemas,,Analista de Sistemas Informáticos,2,Vicerrectorado de Asuntos Académicos,,,4,Universidad Blas Pascal,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,,2010,"Computación, Sistemas e Informática",,Analista de Sistemas,2,Facultad de Ingeniería e Informática,,,2,Universidad Católica de Salta,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,2,2010,"Computación, Sistemas e Informática",,Analista de Sistemas,8,Facultad de Matemática Aplicada,,,10,Universidad Católica de Santiago del Estero,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,1,2010,"Computación, Sistemas e Informática",,Analista de Sistemas,1,Rectorado,,,2,Universidad Nacional de Luján,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,31,,2010,"Computación, Sistemas e Informática",22,Analista de Sistemas,,UNIDAD ACADEMICA CALETA OLIVIA,26,101,,Universidad Nacional de la Patagonia Austral,75,70,Pregrado            ,17,53,9,Estatal                                           ,Universidad                                       
,44,,2010,"Computación, Sistemas e Informática",33,Analista de Sistemas,1,UNIDAD ACADEMICA RIO GALLEGOS,40,127,1,Universidad Nacional de la Patagonia Austral,87,83,Pregrado            ,29,54,11,Estatal                                           ,Universidad                                       
,15,,2010,"Computación, Sistemas e Informática",8,Analista de Sistemas,,UNIDAD ACADEMICA RIO TURBIO,23,46,,Universidad Nacional de la Patagonia Austral,23,31,Pregrado            ,16,15,7,Estatal                                           ,Universidad                                       
,1,1,2010,"Computación, Sistemas e Informática",1,Analista de Sistemas,1,Facultad Regional Rosario,,6,2,Universidad Tecnológica Nacional,6,5,Grado               ,,5,,Estatal                                           ,Universidad                                       
,2,,2010,"Computación, Sistemas e Informática",2,Analista de Sistemas,3,Facultad Regional Tucumán,,9,3,Universidad Tecnológica Nacional,9,7,Grado               ,,7,,Estatal                                           ,Universidad                                       
,,,2010,"Computación, Sistemas e Informática",,Analista de Sistemas,,Facultad de Ingeniería,,2,,Universidad de Mendoza,2,2,Pregrado            ,,2,,Privada                                           ,Universidad                                       
,,6,2010,"Computación, Sistemas e Informática",,Analista de Sistemas,5,"Facultad de Informática, Ciencias de la Comunicación y Técnicas Especiales",,,11,Universidad de Morón,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,3,2010,"Computación, Sistemas e Informática",,Analista de Sistemas - MD,20,Facultad de Ciencias de la Administración,,,23,Instituto Universitario Aeronáutico,,,Pregrado            ,,,,Estatal                                           ,Instituto Universitario                           
,,3,2010,"Computación, Sistemas e Informática",,Analista de Sistemas,21,Facultad de Ingeniería,,,24,Instituto Universitario Aeronáutico,,,Pregrado            ,,,,Estatal                                           ,Instituto Universitario                           
,,1,2011,"Computación, Sistemas e Informática",,Analista de Sistemas,5,Facultad de Ciencias Económicas San Francisco,,,6,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,4,2011,"Computación, Sistemas e Informática",,Analista de Sistemas,4,Facultad de Química e Ingeniería Fray Rogelio Bacon,,,8,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,7,2011,"Computación, Sistemas e Informática",,Analista de Sistemas,20,Escuela de Sistemas,,,27,Universidad Argentina John F. Kennedy,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,1,2011,"Computación, Sistemas e Informática",,Analista de Sistemas,,ANEXO MAR DEL PLATA,,,1,Universidad Atlántida Argentina,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,2,2011,"Computación, Sistemas e Informática",,Analista de Sistemas,17,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,,,19,Universidad Atlántida Argentina,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,66,15,2011,"Computación, Sistemas e Informática",30,Analista de Sistemas,25,Facultad de Ciencia y Tecnología,244,402,40,Universidad Autónoma de Entre Ríos,158,336,Pregrado            ,208,128,36,Estatal                                           ,Universidad                                       
,,2,2011,Ingeniería en Sistemas,,Analista de Sistemas Informáticos,,Vicerrectorado de Asuntos Académicos,,,2,Universidad Blas Pascal,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,,2011,"Computación, Sistemas e Informática",,Analista de Sistemas,1,Departamento Académico Rafaela,,,1,Universidad Católica de Santiago del Estero,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
