,Total de Egresados,Nivel de la Oferta,Carrera,Reinscriptos Mujeres,Nuevos Inscriptos Varones,Estudiantes Mujeres,Total de Estudiantes,Gestión,Total de Nuevos Inscriptos,Tipo de Institución,Estudiantes Varones,Egresados Varones,Unidad Académica,Egresados Mujeres,Total de Reinscriptos,Año,Institución,Nuevas Inscriptas Mujeres,Título,Reinscriptos Varones
,36,Grado               ,"Computación, Sistemas e Informática",307,326,353,"2,286",Estatal                                           ,372,Universidad                                       ,"1,933",34,Facultad de Ciencias Exactas y Naturales,2,"1,914",2012,Universidad de Buenos Aires,46,Licenciatura en Ciencias de la Computación,"1,607"
,3,Grado               ,"Computación, Sistemas e Informática",,,,12,Privada                                           ,,Universidad                                       ,12,3,Departamento de Sistemas,,12,2013,Universidad CAECE,,Licenciatura en Ciencias de la Computación,12
,30,Grado               ,"Computación, Sistemas e Informática",93,150,121,695,Estatal                                           ,178,Universidad                                       ,574,29,"Facultad de Matemáticas, Astronomía y Física",1,517,2013,Universidad Nacional de Córdoba,28,Licenciatura en Ciencias de la Computación,424
,6,Grado               ,"Computación, Sistemas e Informática",32,54,42,315,Estatal                                           ,64,Universidad                                       ,273,5,"Facultad de Ciencias Exactas, Ingeniería y Agrimensura",1,251,2013,Universidad Nacional de Rosario,10,Licenciatura en Ciencias de la Computación,219
,13,Grado               ,"Computación, Sistemas e Informática",32,34,38,239,Estatal                                           ,40,Universidad                                       ,201,13,"Facultad de Ciencias Exactas, Físico-Químicas y Naturales",,199,2013,Universidad Nacional de Río Cuarto,6,Licenciatura en Ciencias de la Computación,167
,1,Grado               ,"Computación, Sistemas e Informática",56,86,72,456,Estatal                                           ,102,Universidad                                       ,384,1,"Facultad de Ciencias Exactas, Físicas y Naturales",,354,2013,Universidad Nacional de San Juan,16,Licenciatura en Ciencias de la Computación,298
,12,Grado               ,"Computación, Sistemas e Informática",45,31,53,220,Estatal                                           ,39,Universidad                                       ,167,9,Facultad de Cs. Físico-Matemáticas y Naturales,3,181,2013,Universidad Nacional de San Luis,8,Licenciatura en Ciencias de la Computación,136
,6,Grado               ,"Computación, Sistemas e Informática",64,236,107,556,Estatal                                           ,279,Universidad                                       ,449,5,Facultad de Informática,1,277,2013,Universidad Nacional del Comahue,43,Licenciatura en Ciencias de la Computación,213
,19,Grado               ,"Computación, Sistemas e Informática",58,24,67,290,Estatal                                           ,33,Universidad                                       ,223,13,Departamento de Ciencias e Ingeniería de la Computación,6,257,2013,Universidad Nacional del Sur,9,Licenciatura en Ciencias de la Computación,199
,33,Grado               ,"Computación, Sistemas e Informática",297,260,339,"2,254",Estatal                                           ,302,Universidad                                       ,"1,915",30,Facultad de Ciencias Exactas y Naturales,3,"1,952",2013,Universidad de Buenos Aires,42,Licenciatura en Ciencias de la Computación,"1,655"
,1,Grado               ,"Computación, Sistemas e Informática",,,,1,Privada                                           ,,Universidad                                       ,1,1,Departamento de Sistemas,,1,2014,Universidad CAECE,,Licenciatura en Ciencias de la Computación,1
,17,Grado               ,"Computación, Sistemas e Informática",92,168,125,722,Estatal                                           ,201,Universidad                                       ,597,14,"Facultad de Matemáticas, Astronomía y Física",3,521,2014,Universidad Nacional de Córdoba,33,Licenciatura en Ciencias de la Computación,429
,12,Grado               ,"Computación, Sistemas e Informática",35,112,48,373,Estatal                                           ,125,Universidad                                       ,325,11,"Facultad de Ciencias Exactas, Ingeniería y Agrimensura",1,248,2014,Universidad Nacional de Rosario,13,Licenciatura en Ciencias de la Computación,213
,8,Grado               ,"Computación, Sistemas e Informática",34,53,41,245,Estatal                                           ,60,Universidad                                       ,204,6,"Facultad de Ciencias Exactas, Físico-Químicas y Naturales",2,185,2014,Universidad Nacional de Río Cuarto,7,Licenciatura en Ciencias de la Computación,151
,6,Grado               ,"Computación, Sistemas e Informática",51,78,62,444,Estatal                                           ,89,Universidad                                       ,382,5,"Facultad de Ciencias Exactas, Físicas y Naturales",1,355,2014,Universidad Nacional de San Juan,11,Licenciatura en Ciencias de la Computación,304
,7,Grado               ,"Computación, Sistemas e Informática",38,23,39,162,Estatal                                           ,24,Universidad                                       ,123,6,Facultad de Cs. Físico-Matemáticas y Naturales,1,138,2014,Universidad Nacional de San Luis,1,Licenciatura en Ciencias de la Computación,100
,9,Grado               ,"Computación, Sistemas e Informática",85,171,127,614,Estatal                                           ,213,Universidad                                       ,487,7,Facultad de Informática,2,401,2014,Universidad Nacional del Comahue,42,Licenciatura en Ciencias de la Computación,316
,15,Grado               ,"Computación, Sistemas e Informática",50,30,59,258,Estatal                                           ,39,Universidad                                       ,199,10,Departamento de Ciencias e Ingeniería de la Computación,5,219,2014,Universidad Nacional del Sur,9,Licenciatura en Ciencias de la Computación,169
,32,Grado               ,"Computación, Sistemas e Informática",295,266,377,"2,259",Estatal                                           ,348,Universidad                                       ,"1,882",28,Facultad de Ciencias Exactas y Naturales,4,"1,911",2014,Universidad de Buenos Aires,82,Licenciatura en Ciencias de la Computación,"1,616"
,1,Grado               ,"Computación, Sistemas e Informática",,,,1,Privada                                           ,,Universidad                                       ,1,1,Departamento de Sistemas,,1,2015,Universidad CAECE,,Licenciatura en Ciencias de la Computación,1
,12,Grado               ,"Computación, Sistemas e Informática",90,152,132,747,Estatal                                           ,194,Universidad                                       ,615,11,"Facultad de Matemáticas, Astronomía y Física",1,553,2015,Universidad Nacional de Córdoba,42,Licenciatura en Ciencias de la Computación,463
,7,Grado               ,"Computación, Sistemas e Informática",40,79,46,369,Estatal                                           ,85,Universidad                                       ,323,6,"Facultad de Ciencias Exactas, Ingeniería y Agrimensura",1,284,2015,Universidad Nacional de Rosario,6,Licenciatura en Ciencias de la Computación,244
,14,Grado               ,"Computación, Sistemas e Informática",31,46,36,243,Estatal                                           ,51,Universidad                                       ,207,12,"Facultad de Ciencias Exactas, Físico-Químicas y Naturales",2,192,2015,Universidad Nacional de Río Cuarto,5,Licenciatura en Ciencias de la Computación,161
,5,Grado               ,"Computación, Sistemas e Informática",48,67,60,420,Estatal                                           ,79,Universidad                                       ,360,4,"Facultad de Ciencias Exactas, Físicas y Naturales",1,341,2015,Universidad Nacional de San Juan,12,Licenciatura en Ciencias de la Computación,293
,6,Grado               ,"Computación, Sistemas e Informática",29,23,31,155,Estatal                                           ,25,Universidad                                       ,124,3,Facultad de Cs. Físico-Matemáticas y Naturales,3,130,2015,Universidad Nacional de San Luis,2,Licenciatura en Ciencias de la Computación,101
,7,Grado               ,"Computación, Sistemas e Informática",92,125,116,582,Estatal                                           ,149,Universidad                                       ,466,4,Facultad de Informática,3,433,2015,Universidad Nacional del Comahue,24,Licenciatura en Ciencias de la Computación,341
,12,Grado               ,"Computación, Sistemas e Informática",44,28,48,225,Estatal                                           ,32,Universidad                                       ,177,7,Departamento de Ciencias e Ingeniería de la Computación,5,193,2015,Universidad Nacional del Sur,4,Licenciatura en Ciencias de la Computación,149
,22,Grado               ,"Computación, Sistemas e Informática",235,288,279,"1,954",Estatal                                           ,332,Universidad                                       ,"1,675",15,Facultad de Ciencias Exactas y Naturales,7,"1,622",2015,Universidad de Buenos Aires,44,Licenciatura en Ciencias de la Computación,"1,387"
,2,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,2,Facultad de Ingeniería e Informática,,,2010,Universidad Católica de Salta,,Programador Universitario,
,2,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,1,Facultad de Informática,1,,2010,Universidad Champagnat,,Programador Universitario,
,18,Pregrado            ,"Computación, Sistemas e Informática",106,134,150,554,Estatal                                           ,178,Universidad                                       ,404,14,Facultad de Ingeniería,4,376,2010,Universidad Nacional de Jujuy,44,Analista Programador Universitario,270
,16,Pregrado            ,"Computación, Sistemas e Informática",148,185,198,815,Estatal                                           ,235,Universidad                                       ,617,11,Facultad de Informática,5,580,2010,Universidad Nacional de La Plata,50,Analista Programador Universitario,432
,5,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Universidad                                       ,,2,Rectorado,3,,2010,Universidad Nacional de Luján,,Analista Programador Universitario,
,16,Pregrado            ,"Computación, Sistemas e Informática",5,,5,25,Estatal                                           ,,Universidad                                       ,20,13,"Facultad de Ciencias Exactas, Físicas y Naturales",3,25,2010,Universidad Nacional de San Juan,,Programador Universitario,20
,12,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Universidad                                       ,,7,Facultad de Cs. Físico-Matemáticas y Naturales,5,,2010,Universidad Nacional de San Luis,,Analista Programador Universitario,
,2,Pregrado            ,"Computación, Sistemas e Informática",91,97,123,392,Estatal                                           ,129,Universidad                                       ,269,1,Facultad de Ciencias  Exactas y Tecnológicas,1,263,2010,Universidad Nacional de Santiago del Estero,32,Programador Universitario en Informática,172
,1,Pregrado            ,"Computación, Sistemas e Informática",46,26,60,178,Estatal                                           ,40,Universidad                                       ,118,,Facultad de Ciencias Exactas y Tecnología,1,138,2010,Universidad Nacional de Tucumán,14,Programador Universitario,92
,5,Pregrado            ,"Computación, Sistemas e Informática",5,23,12,89,Estatal                                           ,30,Universidad                                       ,77,3,Facultad de Ingenieria - Sede Puerto Madryn,2,59,2010,Universidad Nacional de la Patagonia San Juan Bosco,7,Analista Programador Universitario,54
,9,Pregrado            ,"Computación, Sistemas e Informática",39,25,46,159,Estatal                                           ,32,Universidad                                       ,113,6,Facultad de Ingeniería - Sede Comodoro Rivadavia,3,127,2010,Universidad Nacional de la Patagonia San Juan Bosco,7,Analista Programador Universitario,88
,7,Pregrado            ,"Computación, Sistemas e Informática",35,42,45,181,Estatal                                           ,52,Universidad                                       ,136,6,Facultad de Ingeniería - Sede Trelew,1,129,2010,Universidad Nacional de la Patagonia San Juan Bosco,10,Analista Programador Universitario,94
,2,Pregrado            ,"Computación, Sistemas e Informática",3,,3,26,Estatal                                           ,,Universidad                                       ,23,2,Facultad de Ingeniería - Sede Ushuaia,,26,2010,Universidad Nacional de la Patagonia San Juan Bosco,,Analista Programador Universitario,23
,51,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Universidad                                       ,,48,Facultad de Ciencias Exactas,3,,2010,Universidad Nacional del Centro de la Provincia de Buenos Aires,,Analista Programador Universitario,
,48,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Universidad                                       ,,25,Facultad de Ciencias Exactas y Naturales y Agrimensura,23,,2010,Universidad Nacional del Nordeste,,Programador Universitario de Aplicaciones,
,9,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,8,Facultad de Ingeniería,1,,2011,Universidad Católica de Salta,,Programador Universitario,
,3,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,3,Facultad de Informática,,,2011,Universidad Champagnat,,Programador Universitario,
,38,Pregrado            ,"Computación, Sistemas e Informática",109,137,154,574,Estatal                                           ,182,Universidad                                       ,420,28,Facultad de Ingeniería,10,392,2011,Universidad Nacional de Jujuy,45,Analista Programador Universitario,283
,67,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Universidad                                       ,,57,Departamento de Ingeniería e Investigaciones Tecnológicas,10,,2011,Universidad Nacional de La Matanza,,Analista Programador Universitario,
,26,Pregrado            ,"Computación, Sistemas e Informática",166,236,213,968,Estatal                                           ,283,Universidad                                       ,755,18,Facultad de Informática,8,685,2011,Universidad Nacional de La Plata,47,Analista Programador Universitario,519
,12,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Universidad                                       ,,9,Sede La Rioja,3,,2011,Universidad Nacional de La Rioja,,Programador Universitario,
,12,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Universidad                                       ,,11,Rectorado,1,,2011,Universidad Nacional de Luján,,Analista Programador Universitario,
,5,Pregrado            ,"Computación, Sistemas e Informática",7,,7,11,Estatal                                           ,,Universidad                                       ,4,3,"Facultad de Ciencias Exactas, Físicas y Naturales",2,11,2011,Universidad Nacional de San Juan,,Programador Universitario,4
,9,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Universidad                                       ,,4,Facultad de Cs. Físico-Matemáticas y Naturales,5,,2011,Universidad Nacional de San Luis,,Analista Programador Universitario,
,12,Pregrado            ,"Computación, Sistemas e Informática",82,79,101,353,Estatal                                           ,98,Universidad                                       ,252,7,Facultad de Ciencias  Exactas y Tecnológicas,5,255,2011,Universidad Nacional de Santiago del Estero,19,Programador Universitario en Informática,173
,11,Pregrado            ,"Computación, Sistemas e Informática",37,13,41,129,Estatal                                           ,17,Universidad                                       ,88,6,Facultad de Ciencias Exactas y Tecnología,5,112,2011,Universidad Nacional de Tucumán,4,Programador Universitario,75
,1,Pregrado            ,"Computación, Sistemas e Informática",4,14,7,78,Estatal                                           ,17,Universidad                                       ,71,,Facultad de Ingenieria - Sede Puerto Madryn,1,61,2011,Universidad Nacional de la Patagonia San Juan Bosco,3,Analista Programador Universitario,57
,10,Pregrado            ,"Computación, Sistemas e Informática",27,24,43,139,Estatal                                           ,40,Universidad                                       ,96,7,Facultad de Ingeniería - Sede Comodoro Rivadavia,3,99,2011,Universidad Nacional de la Patagonia San Juan Bosco,16,Analista Programador Universitario,72
,6,Pregrado            ,"Computación, Sistemas e Informática",30,18,33,152,Estatal                                           ,21,Universidad                                       ,119,4,Facultad de Ingeniería - Sede Trelew,2,131,2011,Universidad Nacional de la Patagonia San Juan Bosco,3,Analista Programador Universitario,101
,3,Pregrado            ,"Computación, Sistemas e Informática",3,2,3,33,Estatal                                           ,2,Universidad                                       ,30,3,Facultad de Ingeniería - Sede Ushuaia,,31,2011,Universidad Nacional de la Patagonia San Juan Bosco,,Analista Programador Universitario,28
,59,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Universidad                                       ,,48,Facultad de Ciencias Exactas,11,,2011,Universidad Nacional del Centro de la Provincia de Buenos Aires,,Analista Programador Universitario,
,45,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Universidad                                       ,,26,Facultad de Ciencias Exactas y Naturales y Agrimensura,19,,2011,Universidad Nacional del Nordeste,,Programador Universitario de Aplicaciones,
,7,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,7,Facultad de Ingeniería,,,2011,Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino,,Programador Universitario,
,4,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,,Facultad de Ingeniería,4,,2012,Universidad Católica de Salta,,Programador Universitario,
,,Pregrado            ,"Computación, Sistemas e Informática",,172,64,236,Estatal                                           ,236,Universidad                                       ,172,,Secretaría Académica,,,2012,Universidad Nacional José C. Paz,64,Analista Programador Universitario,
