,Total de Egresados,Nivel de la Oferta,Carrera,Reinscriptos Mujeres,Nuevos Inscriptos Varones,Estudiantes Mujeres,Total de Estudiantes,Gestión,Total de Nuevos Inscriptos,Tipo de Institución,Estudiantes Varones,Egresados Varones,Unidad Académica,Egresados Mujeres,Total de Reinscriptos,Año,Institución,Nuevas Inscriptas Mujeres,Título,Reinscriptos Varones
,6,Grado               ,"Computación, Sistemas e Informática",4,,4,18,Estatal                                           ,,Universidad                                       ,14,5,Facultad de Ingeniería - Sede Trelew,1,18,2015,Universidad Nacional de la Patagonia San Juan Bosco,,Licenciatura en Informática,14
,2,Grado               ,"Computación, Sistemas e Informática",2,1,2,11,Estatal                                           ,1,Universidad                                       ,9,2,Facultad de Ingeniería - Sede Ushuaia,,10,2015,Universidad Nacional de la Patagonia San Juan Bosco,,Licenciatura en Informática,8
,,Grado               ,"Computación, Sistemas e Informática",40,104,71,368,Estatal                                           ,135,Universidad                                       ,297,,Escuela de informática,,233,2015,Universidad Nacional del Oeste,31,Licenciatura en Informática,193
,14,Grado               ,"Computación, Sistemas e Informática",18,31,24,189,Privada                                           ,37,Universidad                                       ,165,12,Facultad de Ingeniería,2,152,2015,Universidad de Palermo,6,Licenciatura en Informática,134
,3,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,3,Facultad de Química e Ingeniería Fray Rogelio Bacon,,,2010,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,,Analista de Sistemas,
,27,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,23,Escuela de Sistemas,4,,2010,Universidad Argentina John F. Kennedy,,Analista de Sistemas,
,5,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,4,ANEXO MAR DEL PLATA,1,,2010,Universidad Atlántida Argentina,,Analista de Sistemas,
,1,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,1,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,,,2010,Universidad Atlántida Argentina,,Analista de Sistemas,
,36,Pregrado            ,"Computación, Sistemas e Informática",32,142,50,265,Estatal                                           ,160,Universidad                                       ,215,21,Facultad de Ciencia y Tecnología,15,105,2010,Universidad Autónoma de Entre Ríos,18,Analista de Sistemas,73
,4,Pregrado            ,Ingeniería en Sistemas,,,,,Privada                                           ,,Universidad                                       ,,2,Vicerrectorado de Asuntos Académicos,2,,2010,Universidad Blas Pascal,,Analista de Sistemas Informáticos,
,2,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,2,Facultad de Ingeniería e Informática,,,2010,Universidad Católica de Salta,,Analista de Sistemas,
,10,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,8,Facultad de Matemática Aplicada,2,,2010,Universidad Católica de Santiago del Estero,,Analista de Sistemas,
,2,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Universidad                                       ,,1,Rectorado,1,,2010,Universidad Nacional de Luján,,Analista de Sistemas,
,,Pregrado            ,"Computación, Sistemas e Informática",22,17,31,101,Estatal                                           ,26,Universidad                                       ,70,,UNIDAD ACADEMICA CALETA OLIVIA,,75,2010,Universidad Nacional de la Patagonia Austral,9,Analista de Sistemas,53
,1,Pregrado            ,"Computación, Sistemas e Informática",33,29,44,127,Estatal                                           ,40,Universidad                                       ,83,1,UNIDAD ACADEMICA RIO GALLEGOS,,87,2010,Universidad Nacional de la Patagonia Austral,11,Analista de Sistemas,54
,,Pregrado            ,"Computación, Sistemas e Informática",8,16,15,46,Estatal                                           ,23,Universidad                                       ,31,,UNIDAD ACADEMICA RIO TURBIO,,23,2010,Universidad Nacional de la Patagonia Austral,7,Analista de Sistemas,15
,2,Grado               ,"Computación, Sistemas e Informática",1,,1,6,Estatal                                           ,,Universidad                                       ,5,1,Facultad Regional Rosario,1,6,2010,Universidad Tecnológica Nacional,,Analista de Sistemas,5
,3,Grado               ,"Computación, Sistemas e Informática",2,,2,9,Estatal                                           ,,Universidad                                       ,7,3,Facultad Regional Tucumán,,9,2010,Universidad Tecnológica Nacional,,Analista de Sistemas,7
,,Pregrado            ,"Computación, Sistemas e Informática",,,,2,Privada                                           ,,Universidad                                       ,2,,Facultad de Ingeniería,,2,2010,Universidad de Mendoza,,Analista de Sistemas,2
,11,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,5,"Facultad de Informática, Ciencias de la Comunicación y Técnicas Especiales",6,,2010,Universidad de Morón,,Analista de Sistemas,
,23,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Instituto Universitario                           ,,20,Facultad de Ciencias de la Administración,3,,2010,Instituto Universitario Aeronáutico,,Analista de Sistemas - MD,
,24,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Instituto Universitario                           ,,21,Facultad de Ingeniería,3,,2010,Instituto Universitario Aeronáutico,,Analista de Sistemas,
,6,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,5,Facultad de Ciencias Económicas San Francisco,1,,2011,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,,Analista de Sistemas,
,8,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,4,Facultad de Química e Ingeniería Fray Rogelio Bacon,4,,2011,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,,Analista de Sistemas,
,27,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,20,Escuela de Sistemas,7,,2011,Universidad Argentina John F. Kennedy,,Analista de Sistemas,
,1,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,,ANEXO MAR DEL PLATA,1,,2011,Universidad Atlántida Argentina,,Analista de Sistemas,
,19,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,17,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,2,,2011,Universidad Atlántida Argentina,,Analista de Sistemas,
,40,Pregrado            ,"Computación, Sistemas e Informática",30,208,66,402,Estatal                                           ,244,Universidad                                       ,336,25,Facultad de Ciencia y Tecnología,15,158,2011,Universidad Autónoma de Entre Ríos,36,Analista de Sistemas,128
,2,Pregrado            ,Ingeniería en Sistemas,,,,,Privada                                           ,,Universidad                                       ,,,Vicerrectorado de Asuntos Académicos,2,,2011,Universidad Blas Pascal,,Analista de Sistemas Informáticos,
,1,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,1,Departamento Académico Rafaela,,,2011,Universidad Católica de Santiago del Estero,,Analista de Sistemas,
,2,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,2,Facultad de Matemática Aplicada,,,2011,Universidad Católica de Santiago del Estero,,Analista de Sistemas,
,2,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Universidad                                       ,,2,Rectorado,,,2011,Universidad Nacional de Luján,,Analista de Sistemas,
,,Pregrado            ,"Computación, Sistemas e Informática",18,20,28,92,Estatal                                           ,30,Universidad                                       ,64,,UNIDAD ACADEMICA CALETA OLIVIA,,62,2011,Universidad Nacional de la Patagonia Austral,10,Analista de Sistemas,44
,,Pregrado            ,"Computación, Sistemas e Informática",29,23,38,119,Estatal                                           ,32,Universidad                                       ,81,,UNIDAD ACADEMICA RIO GALLEGOS,,87,2011,Universidad Nacional de la Patagonia Austral,9,Analista de Sistemas,58
,,Pregrado            ,"Computación, Sistemas e Informática",6,15,9,34,Estatal                                           ,18,Universidad                                       ,25,,UNIDAD ACADEMICA RIO TURBIO,,16,2011,Universidad Nacional de la Patagonia Austral,3,Analista de Sistemas,10
,,Grado               ,"Computación, Sistemas e Informática",1,,1,1,Estatal                                           ,,Universidad                                       ,,,Facultad Regional Córdoba,,1,2011,Universidad Tecnológica Nacional,,Analista de Sistemas,
,1,Grado               ,"Computación, Sistemas e Informática",1,,1,2,Estatal                                           ,,Universidad                                       ,1,1,Facultad Regional Rosario,,2,2011,Universidad Tecnológica Nacional,,Analista de Sistemas,1
,,Grado               ,"Computación, Sistemas e Informática",1,,1,1,Estatal                                           ,,Universidad                                       ,,,Facultad Regional Santa Fé,,1,2011,Universidad Tecnológica Nacional,,Analista de Sistemas,
,,Grado               ,"Computación, Sistemas e Informática",2,,2,7,Estatal                                           ,,Universidad                                       ,5,,Facultad Regional Tucumán,,7,2011,Universidad Tecnológica Nacional,,Analista de Sistemas,5
,,Pregrado            ,"Computación, Sistemas e Informática",,,,2,Privada                                           ,,Universidad                                       ,2,,Facultad de Ingeniería,,2,2011,Universidad de Mendoza,,Analista de Sistemas,2
,2,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,,"Facultad de Informática, Ciencias de la Comunicación y Técnicas Especiales",2,,2011,Universidad de Morón,,Analista de Sistemas,
,3,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,3,Facultad de Ingeniería,,,2011,Universidad de la Marina Mercante,,Analista de Sistemas,
,38,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Instituto Universitario                           ,,29,Facultad de Ciencias de la Administración,9,,2011,Instituto Universitario Aeronáutico,,Analista de Sistemas - MD,
,1,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Instituto Universitario                           ,,,Facultad de Ingeniería,1,,2011,Instituto Universitario Aeronáutico,,Analista de Sistemas,
,2,Pregrado            ,Ingeniería en Sistemas,,,,,Estatal                                           ,,Instituto Universitario                           ,,1,Facultad de Ingeniería,1,,2011,Instituto Universitario Aeronáutico,,Analista de Sistemas Informáticos,
,5,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,4,Facultad de Química e Ingeniería Fray Rogelio Bacon,1,,2012,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,,Analista de Sistemas,
,97,Pregrado            ,Ingeniería en Sistemas,,,,,Privada                                           ,,Universidad                                       ,,90,Facultad de Tecnología Informática,7,,2012,Universidad Abierta Interamericana,,Analista de Sistemas Informáticos,
,49,Pregrado            ,Ingeniería en Sistemas,,,,,Privada                                           ,,Universidad                                       ,,39,Facultad de Tecnología Informática - Rosario,10,,2012,Universidad Abierta Interamericana,,Analista de Sistemas Informáticos,
,42,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,31,Escuela de Sistemas,11,,2012,Universidad Argentina John F. Kennedy,,Analista de Sistemas,
,2,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,1,ANEXO MAR DEL PLATA,1,,2012,Universidad Atlántida Argentina,,Analista de Sistemas,
,3,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,3,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,,,2012,Universidad Atlántida Argentina,,Analista de Sistemas,
,42,Pregrado            ,"Computación, Sistemas e Informática",30,148,49,380,Estatal                                           ,167,Universidad                                       ,331,33,Facultad de Ciencia y Tecnología,9,213,2012,Universidad Autónoma de Entre Ríos,19,Analista de Sistemas,183
,1,Pregrado            ,Ingeniería en Sistemas,,,,,Privada                                           ,,Universidad                                       ,,,Vicerrectorado de Asuntos Académicos,1,,2012,Universidad Blas Pascal,,Analista de Sistemas Informáticos,
,2,Pregrado            ,"Computación, Sistemas e Informática",16,18,22,77,Estatal                                           ,24,Universidad                                       ,55,1,UNIDAD ACADEMICA CALETA OLIVIA,1,53,2012,Universidad Nacional de la Patagonia Austral,6,Analista de Sistemas,37
,1,Pregrado            ,"Computación, Sistemas e Informática",30,21,40,112,Estatal                                           ,31,Universidad                                       ,72,,UNIDAD ACADEMICA RIO GALLEGOS,1,81,2012,Universidad Nacional de la Patagonia Austral,10,Analista de Sistemas,51
,1,Pregrado            ,"Computación, Sistemas e Informática",4,11,5,31,Estatal                                           ,12,Universidad                                       ,26,1,UNIDAD ACADEMICA RIO TURBIO,,19,2012,Universidad Nacional de la Patagonia Austral,1,Analista de Sistemas,15
,,Grado               ,"Computación, Sistemas e Informática",1,,1,2,Estatal                                           ,,Universidad                                       ,1,,Facultad Regional Rosario,,2,2012,Universidad Tecnológica Nacional,,Analista de Sistemas,1
,1,Grado               ,"Computación, Sistemas e Informática",1,,1,2,Estatal                                           ,,Universidad                                       ,1,1,Facultad Regional Tucumán,,2,2012,Universidad Tecnológica Nacional,,Analista de Sistemas,1
,1,Pregrado            ,"Computación, Sistemas e Informática",,,,2,Privada                                           ,,Universidad                                       ,2,1,Facultad de Ingeniería,,2,2012,Universidad de Mendoza,,Analista de Sistemas,2
,26,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Instituto Universitario                           ,,19,Facultad de Ciencias de la Administración,7,,2012,Instituto Universitario Aeronáutico,,Analista de Sistemas - MD,
,1,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Instituto Universitario                           ,,1,Facultad de Ingeniería,,,2012,Instituto Universitario Aeronáutico,,Analista de Sistemas,
,9,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,9,Facultad de Química e Ingeniería Fray Rogelio Bacon,,,2013,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,,Analista de Sistemas,
,109,Pregrado            ,Ingeniería en Sistemas,,,,,Privada                                           ,,Universidad                                       ,,93,Facultad de Tecnología Informática,16,,2013,Universidad Abierta Interamericana,,Analista de Sistemas Informáticos,
,43,Pregrado            ,Ingeniería en Sistemas,,,,,Privada                                           ,,Universidad                                       ,,36,Facultad de Tecnología Informática - Rosario,7,,2013,Universidad Abierta Interamericana,,Analista de Sistemas Informáticos,
,40,Pregrado            ,"Computación, Sistemas e Informática",27,148,53,414,Estatal                                           ,174,Universidad                                       ,361,34,Facultad de Ciencia y Tecnología,6,240,2013,Universidad Autónoma de Entre Ríos,26,Analista de Sistemas,213
,1,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Universidad                                       ,,1,Rectorado,,,2013,Universidad Nacional de Luján,,Analista de Sistemas,
,3,Pregrado            ,"Computación, Sistemas e Informática",17,10,26,71,Estatal                                           ,19,Universidad                                       ,45,2,UNIDAD ACADEMICA CALETA OLIVIA,1,52,2013,Universidad Nacional de la Patagonia Austral,9,Analista de Sistemas,35
,,Pregrado            ,"Computación, Sistemas e Informática",25,22,35,92,Estatal                                           ,32,Universidad                                       ,57,,UNIDAD ACADEMICA RIO GALLEGOS,,60,2013,Universidad Nacional de la Patagonia Austral,10,Analista de Sistemas,35
,,Pregrado            ,"Computación, Sistemas e Informática",3,27,9,53,Estatal                                           ,33,Universidad                                       ,44,,UNIDAD ACADEMICA RIO TURBIO,,20,2013,Universidad Nacional de la Patagonia Austral,6,Analista de Sistemas,17
,1,Grado               ,"Computación, Sistemas e Informática",2,,2,2,Estatal                                           ,,Universidad                                       ,,,Facultad Regional Rosario,1,2,2013,Universidad Tecnológica Nacional,,Analista de Sistemas,
,,Grado               ,"Computación, Sistemas e Informática",1,,1,2,Estatal                                           ,,Universidad                                       ,1,,Facultad Regional Tucumán,,2,2013,Universidad Tecnológica Nacional,,Analista de Sistemas,1
,,Pregrado            ,"Computación, Sistemas e Informática",,,,1,Privada                                           ,,Universidad                                       ,1,,Facultad de Ingeniería,,1,2013,Universidad de Mendoza,,Analista de Sistemas,1
,36,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Instituto Universitario                           ,,29,Facultad de Ciencias de la Administración,7,,2013,Instituto Universitario Aeronáutico,,Analista de Sistemas - MD,
,6,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Instituto Universitario                           ,,5,Facultad de Ingeniería,1,,2013,Instituto Universitario Aeronáutico,,Analista de Sistemas,
,97,Pregrado            ,Ingeniería en Sistemas,,,,,Privada                                           ,,Universidad                                       ,,89,Facultad de Tecnología Informática,8,,2014,Universidad Abierta Interamericana,,Analista de Sistemas Informáticos,
,47,Pregrado            ,Ingeniería en Sistemas,,,,,Privada                                           ,,Universidad                                       ,,42,Facultad de Tecnología Informática - Rosario,5,,2014,Universidad Abierta Interamericana,,Analista de Sistemas Informáticos,
,28,Pregrado            ,"Computación, Sistemas e Informática",38,139,63,433,Estatal                                           ,164,Universidad                                       ,370,20,Facultad de Ciencia y Tecnología,8,269,2014,Universidad Autónoma de Entre Ríos,25,Analista de Sistemas,231
,6,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,6,Departamento Académico San Salvador,,,2014,Universidad Católica de Santiago del Estero,,Analista de Sistemas,
,7,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,5,Facultad de Matemática Aplicada,2,,2014,Universidad Católica de Santiago del Estero,,Analista de Sistemas,
,2,Pregrado            ,"Computación, Sistemas e Informática",17,18,23,65,Estatal                                           ,24,Universidad                                       ,42,1,UNIDAD ACADEMICA CALETA OLIVIA,1,41,2014,Universidad Nacional de la Patagonia Austral,6,Analista de Sistemas,24
,,Pregrado            ,"Computación, Sistemas e Informática",24,24,31,95,Estatal                                           ,31,Universidad                                       ,64,,UNIDAD ACADEMICA RIO GALLEGOS,,64,2014,Universidad Nacional de la Patagonia Austral,7,Analista de Sistemas,40
,,Pregrado            ,"Computación, Sistemas e Informática",4,8,9,36,Estatal                                           ,13,Universidad                                       ,27,,UNIDAD ACADEMICA RIO TURBIO,,23,2014,Universidad Nacional de la Patagonia Austral,5,Analista de Sistemas,19
,,Grado               ,"Computación, Sistemas e Informática",1,,1,1,Estatal                                           ,,Universidad                                       ,,,Facultad Regional Rosario,,1,2014,Universidad Tecnológica Nacional,,Analista de Sistemas,
,,Grado               ,"Computación, Sistemas e Informática",,,,1,Estatal                                           ,,Universidad                                       ,1,,Facultad Regional Santa Fé,,1,2014,Universidad Tecnológica Nacional,,Analista de Sistemas,1
,1,Grado               ,"Computación, Sistemas e Informática",1,,1,1,Estatal                                           ,,Universidad                                       ,,,Facultad Regional Tucumán,1,1,2014,Universidad Tecnológica Nacional,,Analista de Sistemas,
,15,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Instituto Universitario                           ,,10,Facultad de Ciencias de la Administración,5,,2014,Instituto Universitario Aeronáutico,,Analista de Sistemas - MD,
,6,Pregrado            ,Ingeniería en Sistemas,,,,,Estatal                                           ,,Instituto Universitario                           ,,6,Facultad de Ingeniería,,,2014,Instituto Universitario Aeronáutico,,Analista de Sistemas Informáticos,
,1,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,1,Facultad de Química e Ingeniería del Rosario,,,2015,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,,Analista de Sistemas,
,97,Pregrado            ,Ingeniería en Sistemas,,,,,Privada                                           ,,Universidad                                       ,,86,Facultad de Tecnología Informática,11,,2015,Universidad Abierta Interamericana,,Analista de Sistemas Informáticos,
,43,Pregrado            ,Ingeniería en Sistemas,,,,,Privada                                           ,,Universidad                                       ,,37,Facultad de Tecnología Informática - Rosario,6,,2015,Universidad Abierta Interamericana,,Analista de Sistemas Informáticos,
,26,Pregrado            ,"Computación, Sistemas e Informática",43,134,63,470,Estatal                                           ,154,Universidad                                       ,407,23,Facultad de Ciencia y Tecnología,3,316,2015,Universidad Autónoma de Entre Ríos,20,Analista de Sistemas,273
,10,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,8,Departamento Académico Rafaela,2,,2015,Universidad Católica de Santiago del Estero,,Analista de Sistemas,
,3,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,3,Departamento Académico San Salvador,,,2015,Universidad Católica de Santiago del Estero,,Analista de Sistemas,
,5,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,4,Facultad de Matemática Aplicada,1,,2015,Universidad Católica de Santiago del Estero,,Analista de Sistemas,
,12,Pregrado            ,"Computación, Sistemas e Informática",29,6,30,138,Estatal                                           ,7,Universidad                                       ,108,7,Escuela Superior de Comercio Manuel Belgrano,5,131,2015,Universidad Nacional de Córdoba,1,Analista de Sistemas de Informática,102
,9,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Universidad                                       ,,9,Rectorado,,,2015,Universidad Nacional de Luján,,Analista de Sistemas,
,1,Pregrado            ,"Computación, Sistemas e Informática",13,11,19,60,Estatal                                           ,17,Universidad                                       ,41,,UNIDAD ACADEMICA CALETA OLIVIA,1,43,2015,Universidad Nacional de la Patagonia Austral,6,Analista de Sistemas,30
,1,Pregrado            ,"Computación, Sistemas e Informática",17,26,24,97,Estatal                                           ,33,Universidad                                       ,73,1,UNIDAD ACADEMICA RIO GALLEGOS,,64,2015,Universidad Nacional de la Patagonia Austral,7,Analista de Sistemas,47
,,Pregrado            ,"Computación, Sistemas e Informática",2,9,10,36,Estatal                                           ,17,Universidad                                       ,26,,UNIDAD ACADEMICA RIO TURBIO,,19,2015,Universidad Nacional de la Patagonia Austral,8,Analista de Sistemas,17
,,Grado               ,"Computación, Sistemas e Informática",1,,1,1,Estatal                                           ,,Universidad                                       ,,,Facultad Regional Rosario,,1,2015,Universidad Tecnológica Nacional,,Analista de Sistemas,
,1,Grado               ,"Computación, Sistemas e Informática",,,,1,Estatal                                           ,,Universidad                                       ,1,1,Facultad Regional Santa Fé,,1,2015,Universidad Tecnológica Nacional,,Analista de Sistemas,1
,20,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Instituto Universitario                           ,,18,Facultad de Ciencias de la Administración,2,,2015,Instituto Universitario Aeronáutico,,Analista de Sistemas - MD,
,9,Pregrado            ,Ingeniería en Sistemas,,,,,Estatal                                           ,,Instituto Universitario                           ,,9,Facultad de Ingeniería,,,2015,Instituto Universitario Aeronáutico,,Analista de Sistemas Informáticos,
,,Grado               ,"Computación, Sistemas e Informática",6,15,7,83,Privada                                           ,16,Universidad                                       ,76,,Facultad de Ciencias Económicas San Francisco,,67,2010,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,1,Licenciatura en Sistemas y Computación,61
,23,Grado               ,"Computación, Sistemas e Informática",13,11,13,87,Privada                                           ,11,Universidad                                       ,74,20,Facultad de Química e Ingeniería Fray Rogelio Bacon,3,76,2010,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,,Licenciatura en Sistemas y Computación,63
,3,Grado               ,"Computación, Sistemas e Informática",186,120,199,"1,185",Privada                                           ,133,Universidad                                       ,986,2,Escuela de Sistemas,1,"1,052",2010,Universidad Argentina John F. Kennedy,13,Licenciatura en Sistemas,866
,31,Grado               ,"Computación, Sistemas e Informática",156,,156,603,Estatal                                           ,,Universidad                                       ,447,18,Facultad de Ciencia y Tecnología,13,603,2010,Universidad Autónoma de Entre Ríos,,Licenciatura en Sistemas Informáticos,447
,47,Grado               ,"Computación, Sistemas e Informática",74,122,83,549,Privada                                           ,131,Universidad                                       ,466,36,Departamento de Sistemas,11,418,2010,Universidad CAECE,9,Licenciatura en Sistemas,344
,3,Grado               ,"Computación, Sistemas e Informática",7,6,9,63,Privada                                           ,8,Universidad                                       ,54,1,Departamento de Sistemas - Sede Mar del Plata,2,55,2010,Universidad CAECE,2,Licenciatura en Sistemas,48
,1,Grado               ,"Computación, Sistemas e Informática",66,86,101,349,Estatal                                           ,121,Universidad                                       ,248,,Escuela de Tecnología de la Información y las Comunicaciones,1,228,2010,Universidad Nacional de Chilecito,35,Licenciatura en Sistemas,162
,16,Grado               ,"Computación, Sistemas e Informática",63,38,82,264,Estatal                                           ,57,Universidad                                       ,182,11,Facultad de Ciencias de la Administración,5,207,2010,Universidad Nacional de Entre Ríos,19,Licenciatura en Sistemas,144
,14,Grado               ,"Computación, Sistemas e Informática",10,,10,29,Estatal                                           ,,Universidad                                       ,19,8,"Facultad de Administración, Economía y Negocios",6,29,2010,Universidad Nacional de Formosa,,Licenciatura en Sistemas - Ciclo de Licenciatura,19
,2,Grado               ,"Computación, Sistemas e Informática",113,52,131,375,Estatal                                           ,70,Universidad                                       ,244,2,Facultad de Ingeniería,,305,2010,Universidad Nacional de Jujuy,18,Licenciatura en Sistemas,192
,6,Grado               ,"Computación, Sistemas e Informática",296,263,350,"1,689",Estatal                                           ,317,Universidad                                       ,"1,339",2,Facultad de Informática,4,"1,372",2010,Universidad Nacional de La Plata,54,Licenciatura en Sistemas,"1,076"
,,Grado               ,"Computación, Sistemas e Informática",41,14,49,183,Estatal                                           ,22,Universidad                                       ,134,,Sede Chamical,,161,2010,Universidad Nacional de La Rioja,8,Licenciatura en Sistemas,120
,6,Grado               ,"Computación, Sistemas e Informática",152,101,181,767,Estatal                                           ,130,Universidad                                       ,586,3,Sede La Rioja,3,637,2010,Universidad Nacional de La Rioja,29,Licenciatura en Sistemas,485
,,Grado               ,"Computación, Sistemas e Informática",23,153,44,296,Estatal                                           ,174,Universidad                                       ,252,,Departamento de Desarrollo Productivo y Trabajo,,122,2010,Universidad Nacional de Lanús,21,Licenciatura en Sistemas,99
,,Grado               ,"Computación, Sistemas e Informática",7,22,15,65,Estatal                                           ,30,Universidad                                       ,50,,Sede Atlántida,,35,2010,Universidad Nacional de Río Negro,8,Licenciatura en Sistemas,28
,4,Grado               ,"Computación, Sistemas e Informática",15,16,25,61,Estatal                                           ,26,Universidad                                       ,36,1,UNIDAD ACADEMICA RIO GALLEGOS,3,35,2010,Universidad Nacional de la Patagonia Austral,10,Licenciatura en Sistemas,20
,,Grado               ,"Computación, Sistemas e Informática",,44,10,54,Estatal                                           ,54,Universidad                                       ,44,,Facultad de Ingeniería - Sede Trelew,,,2010,Universidad Nacional de la Patagonia San Juan Bosco,10,Licenciatura en Sistemas,
,,Grado               ,"Computación, Sistemas e Informática",,21,2,23,Estatal                                           ,23,Universidad                                       ,21,,Facultad de Ingeniería - Sede Ushuaia,,,2010,Universidad Nacional de la Patagonia San Juan Bosco,2,Licenciatura en Sistemas (orientación Calidad de Software),
,36,Grado               ,"Computación, Sistemas e Informática",111,,111,227,Estatal                                           ,,Universidad                                       ,116,18,Facultad de Ciencias Exactas y Naturales y Agrimensura,18,227,2010,Universidad Nacional del Nordeste,,Licenciatura en Sistemas,116
,1,Grado               ,"Computación, Sistemas e Informática",23,135,60,256,Estatal                                           ,172,Universidad                                       ,196,1,Escuela de Tecnología,,84,2010,Universidad Nacional del Noroeste de la Provincia de Buenos Aires,37,Licenciatura en Sistemas,61
,,Grado               ,"Computación, Sistemas e Informática",3,2,3,45,Privada                                           ,2,Universidad                                       ,42,,Facultad de Ingeniería,,43,2010,Universidad de Mendoza,,Licenciatura en Sistemas,40
,,Grado               ,"Computación, Sistemas e Informática",3,,3,15,Privada                                           ,,Universidad                                       ,12,,Subsede San Rafael,,15,2010,Universidad de Mendoza,,Licenciatura en Sistemas,12
,11,Grado               ,"Computación, Sistemas e Informática",36,27,42,204,Privada                                           ,33,Universidad                                       ,162,7,"Facultad de Informática, Ciencias de la Comunicación y Técnicas Especiales",4,171,2010,Universidad de Morón,6,Licenciatura en Sistemas,135
,4,Grado               ,"Computación, Sistemas e Informática",16,,16,100,Privada                                           ,,Universidad                                       ,84,3,Facultad de Ingeniería,1,100,2010,Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino,,Licenciatura en Sistemas,84
